left_master_id,left_table,right_table,left_column,right_column,intersect_count,left_intersect_ratio,right_intersect_ratio,right_master_id,ts,in_ground_truth,in_predicted
671$$##$$Camp ID,campaign_survey,campaigns,Camp ID,Campaign ID,635,0.635,1,670$$##$$Campaign ID,,TRUE,TRUE
upstream_dataset$$##$$campaigns$$##$$Prospect ID,campaigns,customers,Prospect ID,C_ID,622,0.622,1,upstream_dataset$$##$$customers$$##$$C_ID,,TRUE,TRUE
upstream_dataset$$##$$campaigns$$##$$Prod_ID,campaigns,products,Prod_ID,Product ID,633,0.633,1,upstream_dataset$$##$$products$$##$$Product ID,,TRUE,TRUE
670$$##$$Campaign ID,campaigns,website,Campaign ID,Cmgn ID,618,1,0.618,677$$##$$Cmgn ID,,TRUE,TRUE
666$$##$$Party ID,customer_hierarchy,customers,Party ID,C_ID,616,0.616,1,681$$##$$C_ID,,TRUE,TRUE
upstream_dataset$$##$$customers$$##$$C_ID,customers,delivery_survey,C_ID,Customer ID,627,1,0.627,upstream_dataset$$##$$delivery_survey$$##$$Customer ID,,TRUE,TRUE
681$$##$$C_ID,customers,expense,C_ID,Contact ID,646,1,0.646,675$$##$$Contact ID,,TRUE,TRUE
681$$##$$C_ID,customers,install_base,C_ID,Party ID,638,1,0.638,663$$##$$Party ID,,TRUE,TRUE
680$$##$$Cust_ID,logistics,customers,Cust_ID,C_ID,612,0.612,1,681$$##$$C_ID,,TRUE,TRUE
668$$##$$Customer_ID,nps_survey,customers,Customer_ID,C_ID,615,0.615,1,681$$##$$C_ID,,TRUE,TRUE
upstream_dataset$$##$$customers$$##$$C_ID,customers,opportunity,C_ID,Cust ID,636,1,0.636,upstream_dataset$$##$$opportunity$$##$$Cust ID,,TRUE,TRUE
681$$##$$C_ID,customers,orders,C_ID,Party ID,994,1,0.994,664$$##$$Party ID,,TRUE,TRUE
679$$##$$Customer Name,prob_statement_issue,customers,Customer Name,Customer Name,624,0.647,1,681$$##$$Customer Name,,FALSE,TRUE
upstream_dataset$$##$$customers$$##$$C_ID,customers,renewals,C_ID,Cus ID,637,1,0.637,upstream_dataset$$##$$renewals$$##$$Cus ID,,TRUE,TRUE
upstream_dataset$$##$$customers$$##$$C_ID,customers,returns,C_ID,Customer ID,652,1,0.652,upstream_dataset$$##$$returns$$##$$Customer ID,,TRUE,TRUE
upstream_dataset$$##$$customers$$##$$C_ID,customers,service_requests,C_ID,C ID,993,1,0.993,upstream_dataset$$##$$service_requests$$##$$C ID,,TRUE,TRUE
678$$##$$Odr ID,delivery_survey,orders,Odr ID,Order ID,893,0.179,1,664$$##$$Order ID,,TRUE,TRUE
673$$##$$Product ID,products,delivery_survey,Product ID,PD ID,640,1,0.64,678$$##$$PD ID,,TRUE,TRUE
upstream_dataset$$##$$expense$$##$$Invoice Number,expense,inventory,Invoice Number,Inventory ID,1000,1,1,upstream_dataset$$##$$inventory$$##$$Inventory ID,,TRUE,TRUE
upstream_dataset$$##$$install_base$$##$$Order ID,install_base,orders,Order ID,Order ID,1000,0.2,1,upstream_dataset$$##$$orders$$##$$Order ID,,TRUE,TRUE
