prdid,strat_type,pric_chg,sales_chg,ms_chg
P100,Skimming Pricing,7.23,0.54,1.96
P101,Premium Pricing,1.41,8.19,-1.06
P102,Premium Pricing,-1.42,4.02,2.32
P103,Penetration Pricing,3.11,5.44,-1.57
P104,Premium Pricing,3.63,4.96,0.14
P105,Premium Pricing,-6.33,14.32,3.64
P106,Premium Pricing,-2.79,9.41,-1.56
P107,Skimming Pricing,9.2,3.36,4.36
P108,Premium Pricing,6.34,0.63,2.06
P109,Economy Pricing,-8.43,7.9,6.94
P110,Premium Pricing,-0.9,2.36,6.09
P111,Economy Pricing,-0.4,3.95,-0.03
P112,Skimming Pricing,-6.3,9.84,0.12
P113,Penetration Pricing,1.77,9.56,1.49
P114,Skimming Pricing,-8.73,7.52,1.88
P115,Skimming Pricing,-7.54,1.64,-1.71
P116,Skimming Pricing,5.37,7.24,3.29
P117,Skimming Pricing,2.38,6.17,0.38
P118,Skimming Pricing,-0.38,14.65,0.96
P119,Skimming Pricing,1.61,-4.96,2.06
P120,Penetration Pricing,4.23,2.58,5.58
P121,Economy Pricing,-8.48,14.81,7.89
P122,Economy Pricing,1.04,9.08,6.91
P123,Penetration Pricing,3.76,-4.4,6.55
P124,Premium Pricing,-9.08,6.8,-0.38
P125,Premium Pricing,-8.29,1.8,-0.05
P126,Economy Pricing,-8.06,10.96,7.84
P127,Premium Pricing,0.17,2.74,3.82
P128,Skimming Pricing,-9.87,2.95,6.03
P129,Premium Pricing,8.89,12.62,-0.58
P130,Economy Pricing,-6.81,3.39,2.88
P131,Penetration Pricing,1.75,10.55,3.44
P132,Penetration Pricing,4.59,0.11,5.66
P133,Penetration Pricing,7.11,9.86,3.99
P134,Economy Pricing,7.59,14.7,7.25
P135,Penetration Pricing,-1.75,1.88,6.71
P136,Skimming Pricing,5.23,0.69,1.18
P137,Penetration Pricing,9.53,14.55,7.78
P138,Premium Pricing,-9.21,-0.33,1.7
P139,Economy Pricing,2.8,6.17,1.88
P140,Skimming Pricing,0.15,12.64,7.07
P141,Skimming Pricing,6.5,3.93,1.96
P142,Penetration Pricing,7.87,6.37,-1.22
P143,Skimming Pricing,7.54,11.75,7.85
P144,Premium Pricing,6.67,9.95,6.91
P145,Skimming Pricing,7.03,-1.2,6.79
P146,Penetration Pricing,0.36,10.41,-1.55
P147,Premium Pricing,-3.58,0.55,7.67
P148,Skimming Pricing,-7.35,2.27,1.44
P149,Penetration Pricing,8.75,10.98,-0.64
P150,Economy Pricing,5.83,14.34,7.35
P151,Economy Pricing,-7.09,10.01,5.37
P152,Skimming Pricing,-3.26,2.9,1.57
P153,Penetration Pricing,1.36,2.1,-1.9
P154,Premium Pricing,1.17,12.2,2.1
P155,Economy Pricing,-3.01,10.31,6.94
P156,Penetration Pricing,-1.25,14.45,-1.24
P157,Premium Pricing,-8.96,11.57,4.29
P158,Economy Pricing,4.89,12.35,7.09
P159,Economy Pricing,-7.91,-3.4,-1.32
P160,Skimming Pricing,1.66,-0.6,-1.34
P161,Premium Pricing,9.9,7.67,3.35
P162,Skimming Pricing,-9.12,-0.36,0.6
P163,Penetration Pricing,0.98,7.48,-1.75
P164,Penetration Pricing,6.59,5.29,-1.78
P165,Penetration Pricing,0.88,10.09,6.67
P166,Premium Pricing,-3.4,1.01,2.51
P167,Penetration Pricing,1.31,-3.41,4.66
P168,Premium Pricing,3.34,2.13,6.98
P169,Premium Pricing,7.46,8.72,1.24
P170,Premium Pricing,6.16,8.41,2.65
P171,Skimming Pricing,-2.01,2.77,-0.27
P172,Economy Pricing,-8.57,12.04,4.62
P173,Skimming Pricing,5.94,9.04,3.25
P174,Economy Pricing,5.18,8.05,-0.69
P175,Premium Pricing,4.88,0.86,5.22
P176,Economy Pricing,4.01,-0.2,1.29
P177,Economy Pricing,-0.44,-4.95,-0.89
P178,Premium Pricing,0.1,2.57,3.45
P179,Penetration Pricing,-8.54,3.67,3.86
P180,Economy Pricing,6.78,14.84,3.83
P181,Skimming Pricing,-1.08,-0.6,6.35
P182,Skimming Pricing,5.31,-4.4,0.03
P183,Penetration Pricing,4.02,0.41,1.63
P184,Premium Pricing,-9.43,4.95,0.08
P185,Economy Pricing,-8.6,12.79,2.13
P186,Penetration Pricing,2.07,5.03,-0.25
P187,Skimming Pricing,7.13,-1.13,4.29
P188,Premium Pricing,-9.25,3.73,0.77
P189,Penetration Pricing,-1.75,-4.99,-0.86
P190,Premium Pricing,2.86,4.41,4.34
P191,Economy Pricing,0.46,3.69,7.44
P192,Skimming Pricing,7.43,-1.96,4.8
P193,Skimming Pricing,-6.92,1.58,0.89
P194,Premium Pricing,-9.7,4.11,0.53
P195,Economy Pricing,9.86,4.47,4.54
P196,Premium Pricing,-8.66,2.2,2.38
P197,Economy Pricing,3.07,-2.16,6.88
P198,Economy Pricing,0.79,12.63,2.83
P199,Penetration Pricing,-9.93,8.17,1.5
