date,prod_id,vol,amt,return_per
1/15/21,P100,446,22224.1,3.01
1/19/21,P101,346,87698.7,1.86
1/23/21,P102,979,92380.74,3.1
1/26/21,P103,351,51785.91,3.57
1/30/21,P104,655,84124.89,2.03
1/30/21,P105,613,78197.65,4.99
2/3/21,P106,147,52040.91,3.19
2/3/21,P107,470,75789,4.11
2/17/21,P108,269,12266.5,2.22
2/17/21,P109,217,37675.46,2.55
2/17/21,P110,151,58707.06,2.41
2/21/21,P111,118,58651.24,2.27
2/21/21,P112,993,67922.6,4.76
2/25/21,P113,961,89830.57,4.87
2/25/21,P114,374,68217.18,3.78
2/25/21,P115,717,99634.44,2.5
2/28/21,P116,685,59528.06,1.41
3/8/21,P117,316,44289.32,3.58
3/11/21,P118,129,71897.63,3.19
3/15/21,P119,333,88512.95,2.56
3/15/21,P120,212,45559.55,2.96
3/26/21,P121,867,82692.01,1.83
3/26/21,P122,286,98198.75,2.78
3/30/21,P123,694,55818.17,3.55
4/6/21,P124,389,92324.99,4.88
4/6/21,P125,287,79183.63,4.45
4/10/21,P126,567,54360.23,2.55
4/10/21,P127,232,93441.38,3.78
4/10/21,P128,987,43914.21,2.35
4/13/21,P110,188,58211.16,4.89
4/17/21,P111,121,97365.5,1.4
5/2/21,P112,895,14784.2,2.21
5/2/21,P113,405,72925.76,1.78
5/6/21,P114,343,36861.39,3.31
5/9/21,P115,730,24025.63,2.65
5/13/21,P116,722,71771.17,4.01
5/17/21,P117,954,25935.02,2.67
5/24/21,P118,394,70158.2,1.29
5/28/21,P119,240,63071.12,2.64
6/4/21,P120,438,53584.12,3.28
6/4/21,P121,881,57856.48,4.14
6/15/21,P122,751,29485.52,4.8
6/19/21,P123,766,72191.3,1.21
6/22/21,P124,959,35802.54,4.82
6/26/21,P125,289,68541.61,4.25
6/26/21,P126,216,63968.4,4.83
6/30/21,P127,551,47165.29,1.47
7/11/21,P128,709,82808.33,4.13
7/18/21,P129,293,91345.24,4.63
7/18/21,P130,218,14334.7,4.23
7/22/21,P131,671,76807.52,3.63
7/22/21,P132,314,54615.92,4.35
7/22/21,P133,380,10406.75,4.96
8/2/21,P134,743,88136.73,3.99
8/2/21,P135,113,74188.77,1.78
8/5/21,P136,188,47650.23,3.32
8/5/21,P137,535,90774.38,4.66
8/5/21,P138,969,17470.25,3.9
8/5/21,P139,371,79171.64,3.78
8/5/21,P140,798,53339.13,3.26
8/9/21,P141,781,36058.5,3.86
8/9/21,P142,678,76941.06,4.66
8/9/21,P143,163,46893.04,3.26
8/13/21,P144,814,35223.12,1.69
8/13/21,P145,575,97342.6,4.11
8/13/21,P146,120,50833.75,1.97
8/16/21,P147,211,86449.97,1.54
8/20/21,P148,573,31362.27,4.54
8/20/21,P149,114,10113.61,2.01
8/27/21,P150,361,71318.15,1.4
8/27/21,P151,866,91329.38,1.7
9/4/21,P152,756,62416.54,3.07
9/4/21,P153,674,88828.24,3.23
9/8/21,P154,134,20363.13,2.53
9/11/21,P155,247,29723.14,1.59
