camp_id,platform,eng_rate,reach,conv_rate,roi
C103,Instagram,9.53,612,6.99,133.59
C102,Facebook,1.67,162,0.18,159.2
C104,Instagram,6.98,698,8.83,198.93
C102,LinkedIn,8.74,819,5.21,109.22
C102,Facebook,9.26,543,4.57,54.91
C101,Facebook,8,548,1.1,45.72
C104,Facebook,4.29,739,4.01,105.38
C101,Facebook,4.35,748,8.54,169.51
C102,LinkedIn,11.55,362,7.37,264.13
C101,Facebook,11.98,427,6.67,238.75
C101,LinkedIn,7.94,948,9.22,94.79
C103,Facebook,14.19,793,1.48,38.49
C103,Twitter,3.22,534,4.08,264.63
C103,Facebook,4.97,505,0.88,224.87
C103,Instagram,5.03,63,3.35,140.46
C102,LinkedIn,3,379,8.45,-34.84
C104,Twitter,7.7,873,4.91,149.81
C102,Twitter,7.52,107,6.78,138.35
C101,Twitter,8.12,480,1.16,152.26
C104,Facebook,11.89,15,6.77,-2.69
C101,Twitter,14.06,19,8.31,287.72
C104,LinkedIn,8.31,730,7.22,36.83
C102,Facebook,4.24,944,3.85,28.42
C102,Twitter,12.41,732,8.22,218.97
C103,LinkedIn,0.79,657,9.08,102.98
C101,LinkedIn,7.38,68,3,9.14
C102,LinkedIn,1,290,9.47,28.98
C103,LinkedIn,13.56,493,7.04,-43.86
C102,,9.35,44,1.53,-12.55
C104,,1.4,153,7.62,239.65
C102,,11.94,679,4.69,28.67
C104,,0.91,883,1.54,-26.78
C103,,14.84,170,0.14,46.79
C103,,5.39,495,2.15,40.64
C102,Twitter,8.48,228,3.12,9.15
C104,Instagram,12.95,943,7.77,257.83
C103,Instagram,13.73,536,3.64,138.6
C102,Twitter,13.94,387,9.58,93.67
C101,Facebook,8.95,211,8.64,81.89
C101,Facebook,11.3,158,8.13,17.7
C101,Twitter,2.7,161,3.18,68.18
C102,Instagram,7.61,764,1.68,-12.26
C101,Instagram,3.12,10,8.67,-28.44
C101,Facebook,8.73,437,2.05,297.51
C101,Twitter,1.31,216,2.57,232.14
C103,Instagram,11.67,524,5.15,174.99
C103,Twitter,13.88,933,0.88,44.02
C102,LinkedIn,14.14,879,5.8,83.91
C104,Facebook,13.12,583,6.52,15.62
C101,LinkedIn,2.27,11,8.42,169.48
C104,Twitter,1.5,775,5.91,117.23
C104,Facebook,13.9,427,6.12,-23.73
C101,LinkedIn,12.18,25,4.36,123.35
C103,Instagram,5.13,53,9.58,268.49
C102,LinkedIn,13.5,44,8.89,95.8
C102,Twitter,4.27,380,4.75,-14.37
C104,LinkedIn,2.37,391,3.69,-19.72
C103,Facebook,5.82,477,3.25,207.41
C104,Instagram,0.87,191,5.05,-5.63
C101,Instagram,8.72,61,6.68,237.93
C101,Twitter,6.33,103,1.11,55.09
C103,Facebook,11.83,186,2.89,192.76
C102,LinkedIn,2.05,707,6.96,64.29
C101,Facebook,2.18,789,6.23,-10.44
C103,Facebook,11.07,437,4.29,48.17
C103,Facebook,4.68,107,7.9,280.15
C102,LinkedIn,6.45,122,1.69,247.8
C104,Instagram,8.34,959,6.51,87.62
C104,Instagram,9.09,388,3.67,24.27
C102,Facebook,13.25,483,5.79,30.4
C101,Instagram,5.32,335,6.89,200.29
C101,LinkedIn,4.56,103,5.56,280.63
C103,Facebook,12.11,239,0.77,-37.61
C103,LinkedIn,5.36,174,4.71,205.07
C103,LinkedIn,5.3,526,0.83,243.48
C101,Instagram,9,211,2.04,63.14
C103,LinkedIn,0.82,387,1.46,49.05
C103,Facebook,8.76,985,5.43,125.93
C103,Instagram,10.58,626,2.48,3.29
C104,Facebook,9.17,379,1.01,85.4
C103,Twitter,5.01,423,2.69,71.54
C104,LinkedIn,7.38,824,2.25,-11.78
C102,LinkedIn,11.7,36,8.84,126.02
C104,Twitter,4.46,201,8.64,34.86
C102,Instagram,4.31,432,3.46,112.07
C101,Twitter,4.38,960,0.11,244.01
C104,Facebook,13.02,770,6.74,16.54
C103,Twitter,3.62,110,6.02,2.71
C103,Instagram,6.22,54,0.47,15.44
C103,Facebook,0.53,897,2.57,271.71
C101,Facebook,11.35,91,1.31,-39.24
C104,LinkedIn,4.28,691,1.99,99.83
C101,Facebook,9.88,433,0.51,48.71
C102,LinkedIn,6.66,665,7.77,224.28
C103,LinkedIn,4.23,23,9.6,257.52
C102,Twitter,12.03,436,4.77,199.98
C104,LinkedIn,8,32,7.67,88.16
C103,LinkedIn,8.38,88,1.92,65.17
C104,Instagram,3.73,237,9.66,149.63
C104,Instagram,13.51,32,8.83,204.25
