AdID,ContentID,AdType,AdDuration,AdImpressions,ClickThroughRate,RevenueGenerated,AdCampaignID,SponsorID
1,483,Banner,47,54723,0.0646457963585232,44125.070479470014,11,33
2,160,Pre-roll,46,34190,0.0628815446257268,15312.46340949822,36,38
3,85,Banner,25,54677,0.0334486783269677,12094.92889991928,25,21
4,328,Mid-roll,9,96930,0.0878431732629243,24479.197629011607,19,9
5,231,Banner,12,55733,0.0962197184931906,29610.127331329237,18,31
6,420,Mid-roll,30,72589,0.0305441593393031,42331.91868112271,14,7
7,226,Mid-roll,46,79583,0.0376819328336853,7551.952303803019,27,28
8,10,Banner,8,46692,0.0788547130946236,43017.727052856215,42,50
9,176,Mid-roll,46,74530,0.076245062144504,41614.16431600851,32,50
10,372,Banner,8,97478,0.0250487069937126,7436.909490913295,32,39
11,490,Pre-roll,33,30534,0.0796759045622244,34005.386458515386,17,36
12,349,Mid-roll,47,95681,0.0820255078874895,22021.22475453772,6,8
13,336,Banner,43,92618,0.090555526353064,20250.50915264742,8,48
14,449,Pre-roll,44,60251,0.0472659456520189,38246.96071406027,32,14
15,316,Pre-roll,30,69063,0.0517826532512187,15147.662766375835,36,11
16,189,Mid-roll,34,52381,0.0599436702014284,31458.59153428816,22,1
17,165,Banner,10,60814,0.0122076683247654,36516.28236031293,11,14
18,110,Banner,15,78243,0.0217791470085539,44742.14907408946,38,20
19,205,Pre-roll,53,63952,0.0807062993033751,41976.44959074856,32,4
20,287,Banner,39,95679,0.0628926541751197,45621.59314142988,19,5
21,55,Pre-roll,41,32227,0.0588415623814716,9087.163408531838,11,17
22,140,Banner,10,95726,0.0139570249825801,27722.36911359572,41,14
23,64,Pre-roll,19,80494,0.0593042345849274,13935.513764689833,25,24
24,179,Banner,27,16377,0.0994799912494826,25834.880398418205,43,37
25,68,Banner,60,7216,0.049769030296552,12494.58908006671,22,22
26,122,Mid-roll,8,25425,0.0481277882570953,36326.023255976506,35,40
27,197,Pre-roll,41,22359,0.0670216745825617,32592.02937357901,6,21
28,163,Banner,47,40321,0.0804148438985874,11721.931940602388,18,19
29,62,Banner,53,34574,0.0675090926781254,1386.6109704223547,2,40
30,395,Mid-roll,41,36120,0.044072047718371,1230.0509881295372,47,7
31,67,Mid-roll,57,13067,0.071337331208326,1632.525498365847,5,23
32,224,Pre-roll,12,75858,0.0314834266876381,46308.88007876695,9,26
33,297,Pre-roll,44,56865,0.0698940649088669,25870.337723783305,42,24
34,72,Pre-roll,58,74081,0.0935813447374952,36680.34941896598,14,12
35,166,Mid-roll,60,35524,0.0624035811316409,31350.797407287115,28,15
36,240,Banner,8,17995,0.0838542323683485,7215.065025663677,41,39
37,190,Banner,35,74317,0.0211730337581745,2730.087021562269,40,38
38,325,Banner,7,95065,0.0600262331606405,49975.59665490733,2,33
39,473,Banner,38,79378,0.0778155781712587,13968.180281803416,3,24
40,288,Pre-roll,55,35004,0.0262079905776172,22436.628819477726,28,30
41,428,Pre-roll,35,36871,0.0811722498895328,45687.4547792914,16,49
42,262,Mid-roll,24,40035,0.043087820001956,3195.687025191726,34,3
43,177,Banner,13,51129,0.0383875727180725,49073.78778158658,12,9
44,353,Mid-roll,37,9998,0.0767223126267115,10368.120726362651,32,17
45,55,Banner,12,87589,0.0632330566274546,24167.158593800184,10,32
46,169,Pre-roll,9,24054,0.0670136979995125,47197.35202146534,37,3
47,422,Mid-roll,20,84655,0.0982191131491075,21433.287399049645,14,38
48,435,Mid-roll,11,95620,0.093489178542069,17432.707536876063,9,38
49,418,Mid-roll,14,66982,0.0807733369474568,7433.5250303917455,22,30
50,254,Banner,25,67079,0.0870204502820406,46541.10682068261,22,25
51,440,Pre-roll,52,72075,0.0634286261270395,48320.97534343252,9,35
52,108,Mid-roll,21,30114,0.026381036558698,47455.46294052732,42,27
53,448,Pre-roll,12,32099,0.0949821901157259,18994.91879428432,34,13
54,289,Pre-roll,17,27241,0.0172736573266538,31476.82680471417,18,3
55,406,Mid-roll,13,28853,0.0492926899501113,29604.384872898,9,11
56,456,Pre-roll,45,5981,0.0271545521366206,4744.757693910504,22,17
57,404,Mid-roll,40,33873,0.0943066517072632,6428.693432791066,21,15
58,302,Mid-roll,46,27493,0.0642001019429164,45172.33197836715,41,48
59,395,Pre-roll,55,31327,0.0787879902193726,31342.74737526172,34,17
60,165,Mid-roll,12,29359,0.0316214874738271,7534.177967774435,24,8
61,68,Banner,7,84914,0.0983485277929055,33865.09053295376,40,29
62,182,Mid-roll,34,22806,0.0449843752346365,36686.59070745384,33,4
