ContentID,Region
1,SG
1,IS
1,BA
2,BH
2,SV
2,UY
3,TJ
3,LA
3,CN
4,MR
4,RS
4,MU
5,ZW
5,SZ
5,BE
6,AD
6,VE
6,VN
7,PG
7,DJ
7,CG
8,MV
8,TL
8,TN
9,FR
9,JP
9,LK
10,AG
10,CY
10,NZ
11,KE
11,CD
11,SN
12,KR
12,MY
12,PS
13,SE
13,SV
13,KR
14,BF
14,TO
14,ST
15,LV
15,MA
15,TN
16,KZ
16,DK
16,ZW
17,CU
17,GR
17,JO
18,CD
18,SV
18,IN
19,NE
19,TM
19,SA
20,KG
20,SD
20,BH
21,HN
21,LU
21,GE
22,MH
22,BR
22,JO
23,MT
23,JO
23,VA
24,BG
24,KP
24,CI
25,DE
25,DZ
25,ZA
26,GQ
26,CD
26,NE
27,AG
27,VU
27,KH
28,BR
28,TR
28,CU
29,BA
29,CY
29,IE
30,AZ
30,US
30,UY
31,TV
31,LC
31,AG
32,RO
32,BW
32,MR
33,MM
33,WS
33,CM
34,ET
34,TN
34,MD
35,EE
35,AZ
35,SO
36,TJ
36,AG
36,PT
37,SG
37,BY
37,MV
38,KW
38,AG
38,SY
39,LR
39,BH
39,ML
40,CI
40,PG
40,GW
41,NO
41,MG
41,TT
42,BO
42,KE
42,CV
43,PS
43,LI
43,AL
44,MU
44,MC
44,KH
45,PH
45,VU
45,ZW
46,DK
46,MK
46,CA
47,HN
47,NO
47,IL
48,TZ
48,SI
48,RU
49,SO
49,MG
49,BS
50,BR
50,HN
50,BR
51,DK
51,AM
51,CH
52,AE
52,PE
52,DM
53,BS
53,UZ
53,VE
54,PW
54,JP
54,AT
55,MD
55,WS
55,NI
56,GY
56,MD
56,BT
57,GE
57,IN
57,NP
58,PA
58,AL
58,LT
59,LB
59,GM
59,BO
60,BY
60,MZ
60,SB
61,BR
61,AT
61,GD
62,UA
62,CR
62,UZ
63,SM
63,QA
63,BZ
64,LS
64,LI
64,BE
65,LR
65,IQ
65,MU
66,LB
66,VC
66,BY
67,IN
67,CU
67,SA
68,KZ
68,NG
68,AD
69,IT
69,GW
69,CF
70,GE
70,UA
70,RW
71,MY
71,FM
71,LC
72,AT
72,BN
72,LS
73,HN
73,MK
73,KZ
74,NI
74,KH
74,GN
75,IE
75,SM
75,ME
76,LT
76,DZ
76,FI
77,PH
77,OM
77,GW
78,RU
78,CO
78,KG
79,BN
79,AO
79,AO
80,IE
80,TH
80,KZ
81,MT
81,GT
81,KP
82,VN
82,NG
82,AT
83,SL
83,MY
83,MT
84,CH
84,RS
84,TN
85,BY
85,YE
85,NR
86,TN
86,GR
86,SY
87,BE
87,DK
87,MU
88,BJ
88,FI
88,UG
89,BO
89,LU
89,CR
90,BW
90,AE
90,MU
91,NR
91,SD
91,MK
92,BO
92,ZA
92,CO
93,CZ
93,GM
93,SG
94,HN
94,JP
94,GY
95,CH
95,GR
95,EC
96,GH
96,FI
96,TG
97,UG
97,KE
97,AU
98,BS
98,EG
98,RW
99,RU
99,AD
99,IN
100,NG
100,BJ
100,KW
101,IT
101,IR
101,MN
102,VN
102,SN
