TotalPoints,MatchesPlayed,PlayerID
858,21,1
137,14,2
268,117,3
1106,44,4
1408,50,5
532,128,6
1138,162,7
1906,191,8
1173,87,9
1115,85,10
1263,146,11
380,87,12
1582,69,13
954,177,14
285,183,15
1773,157,16
1241,41,17
1900,198,18
794,91,19
1002,28,20
420,190,21
1452,117,22
387,28,23
347,143,24
165,79,25
1930,193,26
1570,38,27
1534,15,28
132,62,29
1078,96,30
1363,170,31
618,59,32
394,103,33
1900,127,34
884,74,35
1232,61,36
1064,129,37
1606,57,38
1369,112,39
636,20,40
1869,126,41
1241,198,42
1284,136,43
1097,159,44
339,166,45
1723,166,46
272,183,47
708,73,48
456,71,49
437,194,50
1972,187,51
1958,12,52
1765,69,53
1675,123,54
1516,96,55
1475,132,56
585,94,57
571,95,58
1172,116,59
1307,30,60
740,180,61
1370,21,62
1770,66,63
1607,160,64
844,110,65
501,177,66
1112,106,67
797,34,68
473,78,69
1754,10,70
847,169,71
496,84,72
1798,106,73
1400,173,74
1504,42,75
662,28,76
1345,155,77
1403,33,78
231,119,79
1798,49,80
982,120,81
1067,109,82
514,95,83
1822,50,84
896,152,85
875,18,86
1556,112,87
1799,77,88
160,167,89
1465,113,90
818,52,91
1030,115,92
1124,91,93
946,41,94
1460,32,95
1500,18,96
464,98,97
1633,70,98
775,68,99
1278,169,100
1727,122,101
1382,176,102
1906,107,103
1998,61,104
279,51,105
1735,198,106
306,119,107
911,195,108
1573,22,109
762,46,110
1371,53,111
1093,130,112
1132,189,113
775,167,114
1940,15,115
952,142,116
991,91,117
1626,63,118
536,54,119
148,19,120
1172,166,121
387,134,122
1974,147,123
291,64,124
583,90,125
1608,150,126
674,59,127
128,99,128
1485,19,129
1954,192,130
1476,196,131
1350,33,132
167,74,133
1105,186,134
1578,153,135
234,49,136
175,147,137
1127,70,138
552,57,139
354,43,140
263,14,141
1920,100,142
1932,184,143
529,117,144
1687,65,145
669,130,146
101,182,147
1364,53,148
467,45,149
969,189,150
1815,190,151
390,23,152
718,189,153
1561,10,154
1382,94,155
1403,50,156
461,136,157
1269,189,158
493,42,159
1455,29,160
156,137,161
1448,113,162
1575,82,163
229,156,164
1607,102,165
802,181,166
1287,42,167
1080,158,168
840,24,169
576,23,170
504,180,171
1217,180,172
1861,160,173
997,75,174
1440,185,175
1558,93,176
206,66,177
783,169,178
1775,24,179
1395,174,180
1899,158,181
1978,85,182
140,64,183
534,38,184
1350,102,185
1672,131,186
1599,18,187
999,59,188
1470,114,189
1300,164,190
1333,119,191
299,101,192
681,176,193
1135,145,194
445,76,195
248,94,196
175,69,197
1988,66,198
541,86,199
1813,119,200
