PlayerID,ContractValue,ExpiryDate
1,2000000,2024-10-13T07:00:23
2,4000000,2027-05-17T06:43:58
3,11000000,2025-07-14T18:24:09
4,12000000,2027-03-02T21:20:59
5,8000000,2026-04-13T23:59:28
6,7000000,2028-10-05T10:27:09
7,15000000,2026-11-08T10:21:04
8,1000000,2025-11-01T20:14:38
9,20000000,2025-11-07T16:10:53
10,19000000,2027-03-07T03:05:01
11,13000000,2029-04-07T19:27:56
12,4000000,2027-06-07T02:06:01
13,8000000,2026-06-24T03:56:23
14,17000000,2025-09-16T18:43:23
15,8000000,2026-06-13T00:55:17
16,20000000,2028-12-06T10:44:19
17,4000000,2026-09-29T01:51:52
18,3000000,2029-08-12T05:34:41
19,16000000,2026-05-08T04:18:59
20,3000000,2028-05-08T07:42:58
21,16000000,2026-01-06T20:05:02
22,19000000,2026-10-02T08:32:44
23,20000000,2025-04-28T01:30:14
24,14000000,2025-12-27T19:31:54
25,12000000,2026-02-21T19:39:15
26,20000000,2026-08-30T15:22:08
27,13000000,2028-12-18T06:56:25
28,6000000,2028-03-28T08:49:29
29,15000000,2028-05-25T13:18:50
30,8000000,2027-12-17T19:17:07
31,12000000,2028-09-16T20:14:42
32,12000000,2024-10-25T16:39:19
33,6000000,2028-05-03T16:46:13
34,10000000,2028-10-29T01:23:23
35,7000000,2026-08-27T16:19:42
36,10000000,2027-04-06T02:40:25
37,19000000,2025-02-05T18:06:18
38,2000000,2026-06-10T03:35:34
39,5000000,2025-03-29T22:49:56
40,6000000,2028-05-02T05:36:20
41,15000000,2028-10-01T09:52:52
42,14000000,2025-07-24T21:02:26
43,7000000,2026-09-23T13:14:59
44,8000000,2029-02-12T06:12:21
45,9000000,2027-02-20T02:16:39
46,1000000,2024-12-17T16:56:08
47,14000000,2027-03-26T18:56:21
48,18000000,2027-09-10T15:59:10
49,19000000,2025-07-23T09:01:28
50,1000000,2028-03-14T07:57:20
51,14000000,2026-01-29T02:54:06
52,3000000,2026-09-29T05:59:19
53,19000000,2028-10-05T23:40:02
54,13000000,2026-06-13T00:32:13
55,5000000,2027-04-21T06:24:47
56,19000000,2028-07-29T07:36:00
57,3000000,2025-05-07T12:48:19
58,5000000,2025-04-13T19:25:55
59,20000000,2028-12-15T10:47:32
60,15000000,2029-03-28T20:28:43
61,15000000,2025-12-25T12:29:08
62,13000000,2024-10-10T15:04:21
63,17000000,2026-09-09T18:35:56
64,15000000,2027-11-06T04:32:36
65,1000000,2025-08-20T05:47:38
66,19000000,2024-12-03T04:01:09
67,14000000,2025-05-03T00:04:05
68,16000000,2026-11-17T20:29:57
69,20000000,2025-10-07T00:05:47
70,6000000,2029-05-06T13:49:44
71,2000000,2027-06-21T08:08:16
72,19000000,2026-02-14T14:00:08
73,20000000,2028-12-08T09:58:56
74,6000000,2029-05-30T10:33:01
75,4000000,2025-08-21T05:13:42
76,17000000,2025-12-27T09:12:46
77,20000000,2026-12-25T01:13:00
78,8000000,2029-05-02T00:05:51
79,3000000,2024-12-09T20:13:36
80,14000000,2024-10-30T19:24:19
81,9000000,2026-12-10T07:02:03
82,16000000,2025-12-08T20:13:05
83,18000000,2027-08-24T22:55:24
84,7000000,2027-10-27T21:01:21
85,5000000,2026-07-01T03:08:34
86,19000000,2028-06-15T14:02:43
87,2000000,2026-05-15T03:23:43
88,2000000,2026-03-14T21:37:17
89,12000000,2028-08-31T00:42:50
90,8000000,2028-03-09T11:41:10
91,1000000,2027-07-18T01:27:16
92,2000000,2029-05-10T00:18:17
93,11000000,2028-07-14T01:39:55
94,5000000,2029-05-31T14:12:57
95,9000000,2028-01-24T09:45:32
96,4000000,2025-06-17T23:46:59
97,18000000,2027-03-01T15:41:57
98,7000000,2028-08-26T11:53:53
99,12000000,2025-08-06T16:30:09
100,14000000,2028-05-07T07:42:22
101,5000000,2027-07-13T13:02:57
102,15000000,2024-09-01T00:25:57
103,15000000,2028-11-29T01:16:16
104,1000000,2025-01-20T10:32:30
105,4000000,2029-05-31T16:14:27
106,11000000,2029-04-02T11:47:44
107,9000000,2025-10-22T07:34:46
108,6000000,2025-12-02T13:51:18
109,19000000,2025-12-03T15:42:33
110,18000000,2027-02-08T00:39:44
111,11000000,2026-12-19T01:20:42
112,17000000,2025-08-11T13:23:49
113,16000000,2026-08-19T06:41:33
114,3000000,2027-04-01T21:55:03
115,11000000,2028-10-14T19:38:31
116,17000000,2028-12-17T22:46:03
117,12000000,2028-11-19T11:01:55
118,19000000,2028-11-10T22:56:07
119,14000000,2026-01-15T17:09:06
120,8000000,2027-06-26T03:32:47
121,7000000,2026-11-15T01:56:45
122,3000000,2027-10-13T21:30:57
123,17000000,2025-08-10T07:56:38
124,11000000,2029-07-23T13:27:57
125,2000000,2027-04-23T02:35:09
126,6000000,2026-09-06T22:25:13
127,4000000,2028-01-07T14:00:24
128,13000000,2026-01-31T06:18:30
129,6000000,2026-03-14T06:01:51
130,11000000,2026-04-28T21:56:09
131,19000000,2025-08-29T16:27:39
132,7000000,2024-11-23T13:52:23
133,18000000,2025-10-14T11:21:19
134,15000000,2027-06-23T13:43:00
135,5000000,2024-12-20T16:14:28
136,15000000,2027-10-07T17:03:10
137,13000000,2028-10-25T02:23:18
138,12000000,2029-03-11T22:41:44
139,6000000,2028-04-08T10:54:06
140,10000000,2028-02-02T13:15:59
141,2000000,2028-09-03T21:40:22
142,19000000,2024-08-28T08:31:44
143,14000000,2026-01-13T20:06:42
144,9000000,2028-08-07T15:11:38
145,19000000,2028-09-06T17:06:59
146,15000000,2026-06-24T08:33:55
147,4000000,2026-05-19T05:55:03
148,9000000,2027-08-29T23:55:47
149,5000000,2026-10-09T16:01:11
150,4000000,2028-11-01T22:41:11
151,3000000,2027-09-10T20:54:44
152,19000000,2029-07-18T11:52:02
153,3000000,2025-07-21T16:25:01
154,19000000,2025-08-18T07:22:24
155,5000000,2028-04-30T23:55:55
156,16000000,2027-12-06T06:36:46
157,10000000,2026-01-09T14:40:29
158,2000000,2027-04-30T04:11:14
159,11000000,2026-11-12T00:22:12
160,14000000,2027-02-25T02:31:41
161,16000000,2026-11-28T23:00:04
162,9000000,2028-05-11T16:55:32
163,6000000,2026-03-01T06:54:34
164,11000000,2028-04-09T18:51:19
165,20000000,2026-12-28T16:08:56
166,15000000,2029-01-26T19:45:13
167,9000000,2026-11-24T16:41:53
168,9000000,2025-09-09T13:28:48
169,18000000,2027-12-24T23:09:50
170,20000000,2026-03-20T13:10:43
171,4000000,2025-08-19T16:06:03
172,20000000,2025-08-04T17:47:39
173,12000000,2029-01-02T08:55:41
174,1000000,2027-04-01T18:12:27
175,13000000,2025-03-14T20:28:56
176,1000000,2027-06-05T06:08:51
177,5000000,2029-07-27T14:10:42
178,3000000,2029-08-10T11:40:34
179,9000000,2025-02-15T07:04:46
180,5000000,2025-08-21T16:43:31
181,10000000,2027-05-27T13:07:15
182,15000000,2027-02-14T03:29:16
183,15000000,2028-12-09T18:03:46
184,5000000,2029-01-22T20:47:14
185,3000000,2025-02-06T03:11:22
186,19000000,2026-12-23T05:33:07
187,17000000,2026-03-24T13:22:41
188,7000000,2029-07-20T21:44:32
189,11000000,2027-04-03T15:24:11
190,12000000,2028-12-31T19:03:42
191,20000000,2028-01-11T14:37:41
192,10000000,2029-07-20T21:35:22
193,17000000,2027-03-05T22:36:03
194,3000000,2025-07-26T13:07:16
195,19000000,2026-04-27T09:54:04
196,14000000,2029-07-13T15:52:24
197,8000000,2025-02-03T02:43:51
198,16000000,2026-09-19T11:55:31
199,6000000,2024-11-25T00:37:47
200,20000000,2024-10-24T19:57:46
