DeviceID,ViewerID,DeviceType,OperatingSystem,Manufacturer,Model,ScreenResolution,LastUsed,DeviceRegistrationDate,FirmwareVersion
1,888,TV,Windows,Samsung,perhaps,3840x2160,2024-02-19T06:21:42,2022-01-29T18:48:46,mean
2,795,Smartphone,Android,Samsung,run,3840x2160,2024-01-04T04:13:23,2021-11-14T19:42:32,kitchen
3,157,Smartphone,Android,Samsung,democratic,3840x2160,2024-02-07T00:11:25,2022-07-12T16:16:32,election
4,117,TV,iOS,Apple,deep,2560x1440,2024-05-21T06:47:33,2023-02-22T17:30:54,evening
5,359,Tablet,iOS,Apple,north,1920x1080,2024-02-18T23:42:10,2021-09-03T08:21:33,personal
6,656,TV,iOS,Apple,do,3840x2160,2023-11-24T11:26:08,2021-09-15T03:01:03,such
7,186,Tablet,Windows,Sony,reason,2560x1440,2023-11-30T08:14:15,2023-04-01T15:42:29,big
8,400,Tablet,Windows,Samsung,son,3840x2160,2023-11-15T09:49:23,2021-09-10T02:00:39,write
9,998,TV,iOS,Sony,purpose,2560x1440,2023-11-03T23:08:00,2022-12-22T00:03:58,owner
10,539,Tablet,Windows,Samsung,home,2560x1440,2024-08-01T14:26:06,2022-11-24T12:39:12,ground
11,453,Smartphone,Android,Samsung,enough,3840x2160,2023-08-21T17:36:34,2022-01-04T13:28:54,war
12,95,Tablet,iOS,Apple,skin,3840x2160,2023-09-21T06:56:40,2022-10-01T12:45:40,leave
13,311,Smartphone,Windows,Apple,religious,2560x1440,2024-06-17T04:28:27,2023-04-13T14:17:44,program
14,595,TV,iOS,Samsung,dream,2560x1440,2024-07-17T21:40:13,2022-06-16T05:54:38,single
15,580,TV,Windows,Sony,size,2560x1440,2023-12-22T02:40:34,2022-02-04T17:35:13,trouble
16,756,Tablet,Android,Sony,responsibility,3840x2160,2024-04-16T20:02:08,2022-05-20T23:35:39,north
17,140,Smartphone,iOS,Sony,attention,1920x1080,2023-09-02T08:57:52,2022-07-15T18:55:07,ok
18,901,TV,iOS,Apple,some,1920x1080,2023-11-06T17:47:30,2021-09-25T09:07:18,democratic
19,567,Smartphone,iOS,Samsung,color,2560x1440,2024-02-28T18:56:02,2021-11-20T04:57:28,result
20,855,TV,iOS,Apple,condition,2560x1440,2024-03-16T21:05:21,2022-10-30T08:38:43,car
21,382,Smartphone,Windows,Sony,ten,1920x1080,2024-01-10T04:02:38,2023-01-31T04:01:27,bill
22,633,Smartphone,Android,Sony,unit,2560x1440,2024-04-17T23:46:29,2022-08-23T15:42:38,bill
23,843,Smartphone,iOS,Apple,present,3840x2160,2023-12-30T16:03:21,2022-10-23T22:22:10,someone
24,388,TV,iOS,Samsung,bed,3840x2160,2024-02-22T02:13:34,2023-02-26T00:10:02,none
25,514,Tablet,Android,Sony,general,2560x1440,2024-04-15T23:03:58,2023-06-07T14:00:31,order
26,87,Tablet,iOS,Samsung,off,1920x1080,2023-11-12T13:16:08,2023-07-21T14:21:56,major
27,655,Smartphone,iOS,Apple,left,2560x1440,2024-08-06T15:58:20,2022-08-02T06:46:41,actually
28,164,Tablet,Android,Sony,law,1920x1080,2024-03-22T15:37:35,2022-01-27T23:02:57,reality
29,471,Smartphone,Windows,Apple,especially,3840x2160,2023-08-20T17:40:32,2023-03-26T08:21:49,recent
30,700,TV,iOS,Apple,test,3840x2160,2024-01-14T16:05:20,2022-10-31T03:57:36,scientist
31,363,TV,Android,Apple,still,2560x1440,2023-12-24T22:40:03,2022-06-11T05:04:51,nothing
32,281,Smartphone,Windows,Apple,operation,2560x1440,2024-04-18T14:41:42,2021-11-20T17:48:01,office
33,970,Tablet,iOS,Samsung,yet,2560x1440,2023-08-25T17:50:43,2023-06-30T06:03:38,fact
34,23,TV,iOS,Sony,product,2560x1440,2024-04-26T18:49:50,2023-03-16T09:27:15,listen
35,946,Smartphone,Windows,Samsung,account,1920x1080,2024-03-21T01:37:12,2021-11-29T00:09:36,down
36,297,Tablet,iOS,Sony,child,1920x1080,2023-11-10T02:34:40,2021-10-03T18:51:15,evening
37,306,Smartphone,Android,Sony,image,1920x1080,2024-08-11T11:41:23,2021-09-05T19:40:16,PM
38,342,TV,iOS,Sony,school,3840x2160,2024-01-25T01:11:30,2021-11-08T11:56:22,fine
39,516,Smartphone,Windows,Sony,suggest,2560x1440,2023-10-02T08:48:30,2022-10-10T23:55:19,part
40,900,Smartphone,Windows,Apple,size,1920x1080,2024-07-14T00:08:28,2021-12-21T00:32:03,up
41,398,Tablet,Windows,Sony,within,1920x1080,2024-04-27T19:52:48,2021-09-15T09:26:08,piece
42,619,TV,Android,Sony,future,2560x1440,2023-12-18T06:55:38,2021-10-23T02:09:35,leg
43,122,TV,Windows,Apple,direction,1920x1080,2023-09-01T17:05:01,2022-06-15T01:27:45,force
44,675,TV,Windows,Samsung,imagine,3840x2160,2024-06-17T13:57:13,2023-06-05T08:03:02,decade
45,157,Tablet,iOS,Samsung,effort,2560x1440,2023-09-07T20:31:53,2022-10-22T21:27:11,western
46,56,Smartphone,Windows,Samsung,on,1920x1080,2024-01-10T10:02:29,2023-02-13T02:32:56,me
47,803,TV,iOS,Sony,plan,1920x1080,2024-05-15T16:04:10,2023-07-05T13:23:32,smile
48,89,Tablet,Windows,Samsung,lawyer,3840x2160,2023-10-19T07:25:15,2023-04-10T19:19:56,rest
49,177,Smartphone,Windows,Sony,adult,3840x2160,2024-03-19T22:48:22,2022-03-18T12:50:03,make
50,868,Smartphone,Windows,Apple,instead,2560x1440,2024-05-05T22:14:40,2022-07-20T21:08:32,school
51,601,TV,Android,Samsung,economic,3840x2160,2024-05-12T09:02:26,2022-10-31T15:49:25,everyone
52,647,Tablet,iOS,Samsung,responsibility,2560x1440,2024-05-02T23:12:39,2023-03-08T07:52:05,appear
53,401,Tablet,Windows,Samsung,quite,1920x1080,2024-02-13T09:03:22,2021-10-15T17:54:41,artist
54,246,TV,Android,Samsung,enter,1920x1080,2023-11-07T03:40:47,2022-01-15T14:19:59,door
55,304,Tablet,iOS,Sony,finish,2560x1440,2023-12-12T05:33:09,2022-08-21T02:26:06,mean
56,78,TV,Android,Sony,would,2560x1440,2024-03-15T21:03:09,2022-04-27T19:32:39,down
