LocationID,Country,State,City,PostalCode,TimeZone,IPAddressRange,GeoCoordinates
1,Iran,Delaware,East Anna,61267,Atlantic/Reykjavik,125.74.215.135 - 45.63.8.230,POINT(-175.86804537637326 10.061198005663073)
2,Hong Kong,Virginia,Lake Aaronville,11888,America/Montevideo,191.137.246.162 - 64.244.137.125,POINT(-76.13559144142002 -72.92427423531372)
3,Jordan,Kansas,Evansbury,59656,Europe/Ljubljana,169.160.149.163 - 115.24.110.143,POINT(-168.06661561635582 -10.567890626110483)
4,Sudan,Florida,Heatherbury,35613,America/Grenada,217.181.83.226 - 154.103.199.186,POINT(48.216592165125434 -75.00613877571493)
5,Belize,Utah,Port Kimberlyville,39233,Asia/Jakarta,30.200.157.250 - 142.53.14.112,POINT(-37.94194470703107 -6.976980907223108)
6,French Polynesia,Utah,Nicolasport,81486,Europe/Chisinau,193.45.54.95 - 147.4.244.162,POINT(169.23898573311476 20.25731770077539)
7,Peru,Illinois,North Karen,57748,America/St_Kitts,179.6.253.188 - 44.43.243.242,POINT(-27.86962564606236 27.574549050064817)
8,Wallis and Futuna,Florida,New Julianchester,47661,Europe/Andorra,183.153.156.165 - 108.81.127.193,POINT(-166.13478688955956 -80.86750677727203)
9,Korea,Massachusetts,New Peterport,72575,Europe/Vilnius,198.134.255.106 - 44.201.46.208,POINT(42.70139137157065 25.0001131266244)
10,Saint Helena,Missouri,Valdezstad,08481,America/Antigua,215.110.95.98 - 170.52.41.213,POINT(-135.31255859532828 -7.594934861241143)
11,Armenia,West Virginia,Sheilafurt,70692,Africa/Gaborone,222.111.45.83 - 94.132.219.14,POINT(11.315751242925387 -2.7353294229227885)
12,Portugal,New Hampshire,North Kenneth,66106,Pacific/Easter,161.182.80.122 - 76.24.167.184,POINT(132.1179549817703 59.49814130273117)
13,Bahrain,Indiana,Janetberg,22182,Africa/Porto-Novo,129.33.228.243 - 4.147.36.85,POINT(-178.99466199558128 86.0140112019767)
14,Eritrea,Texas,Marissafurt,32112,Asia/Aden,40.214.227.252 - 58.124.130.88,POINT(32.36180971962975 58.69200778962397)
15,Puerto Rico,Kentucky,Adkinshaven,44099,Asia/Samarkand,74.80.214.90 - 146.186.42.135,POINT(-169.2964595549723 -55.27272677636974)
16,United States Virgin Islands,Texas,Gonzalesland,32157,Europe/Vaduz,131.177.10.184 - 156.156.157.168,POINT(133.6601577836173 72.17481017975706)
