EventID,EventType,EventDate,LocationID,Duration,EventOutcome,Attendance,Referee
1,Tennis Match,2023-10-07T18:19:08,16,160,Win,47803,Robert Thompson
2,Basketball Game,2023-10-02T03:06:48,88,96,Win,18321,Elizabeth Huffman
3,Basketball Game,2024-05-03T08:07:00,90,61,Loss,47099,Tonya Johnson
4,Basketball Game,2023-05-20T10:04:45,24,112,Win,18225,Miguel Young
5,Football Match,2022-10-28T13:19:45,23,150,Win,6193,Christopher Clark
6,Tennis Match,2024-03-21T01:26:36,16,157,Loss,41518,Stephen Lynch
7,Basketball Game,2022-08-15T10:30:31,76,83,Draw,11364,Michael Martin
8,Tennis Match,2024-05-05T10:41:23,26,76,Loss,48832,Allison Johnson
9,Basketball Game,2022-12-08T12:35:17,58,144,Win,8916,James Garcia
10,Basketball Game,2023-09-18T04:43:53,4,100,Draw,10931,Timothy Wright
11,Football Match,2023-12-24T19:06:50,50,177,Draw,5195,Megan Grant
12,Tennis Match,2024-03-11T15:03:11,98,163,Loss,14189,Michael May
13,Tennis Match,2023-05-25T09:30:44,52,78,Win,15200,Wendy Rivera
14,Basketball Game,2024-03-24T12:34:56,67,123,Loss,19262,Samantha Barrett
15,Football Match,2024-05-31T21:36:06,33,85,Draw,34684,Jesse Lynch
16,Basketball Game,2024-01-28T01:11:14,42,129,Win,38864,Valerie Bell
17,Tennis Match,2024-03-30T13:40:57,11,62,Draw,30891,William Macias
18,Basketball Game,2023-03-03T15:47:33,70,131,Draw,25642,Michael Taylor
19,Basketball Game,2023-12-02T14:28:42,84,124,Loss,25437,Morgan Parrish
20,Basketball Game,2023-12-04T07:21:54,85,134,Win,12480,Cindy Smith
21,Basketball Game,2022-08-21T16:20:46,56,132,Win,8769,Matthew Hicks
22,Tennis Match,2023-09-26T21:48:17,16,66,Win,26504,Martin Chapman
23,Tennis Match,2024-05-22T10:35:41,45,150,Win,48537,Alexander Kerr
24,Football Match,2024-08-03T11:03:42,34,131,Loss,23638,Daniel Brown
25,Tennis Match,2023-01-28T04:09:50,62,87,Win,24320,Joshua Barajas
26,Tennis Match,2022-12-20T13:08:56,76,105,Draw,21635,Mr. Kevin Mills
27,Football Match,2024-05-02T09:02:30,54,178,Draw,22577,Tracy Kim
28,Football Match,2023-01-29T09:14:04,51,90,Draw,45207,Katherine Sparks
29,Football Match,2023-05-27T14:37:03,60,148,Win,5813,Heather Torres
30,Tennis Match,2022-12-18T10:28:26,16,156,Draw,38490,Brooke Lee
31,Football Match,2023-11-28T17:13:50,47,112,Win,19668,Michael Anderson
32,Tennis Match,2024-05-12T10:01:31,14,148,Win,16952,Drew Blair
33,Tennis Match,2024-04-17T16:30:14,13,80,Win,29727,Nicholas Campbell
34,Tennis Match,2024-06-03T02:46:14,31,78,Draw,20413,Miss Angelica Hill MD
35,Tennis Match,2023-02-15T08:00:12,77,60,Loss,39927,Andrew Hernandez
36,Football Match,2022-12-27T20:09:36,25,165,Loss,26896,Sophia Garcia
37,Football Match,2024-08-07T23:01:29,100,83,Loss,15463,Douglas Ross
38,Basketball Game,2022-11-17T22:34:26,35,70,Loss,44367,Samuel Chambers
39,Basketball Game,2024-06-12T13:10:06,29,178,Loss,12237,April Pruitt
40,Tennis Match,2023-03-19T12:40:41,86,124,Win,28328,Edwin Cabrera
41,Basketball Game,2024-03-13T16:52:55,52,137,Loss,46201,Shane Morales
42,Football Match,2022-12-26T11:39:30,15,103,Win,34149,Melanie Vincent
43,Basketball Game,2022-12-14T17:03:12,6,112,Draw,33661,Karla Johnson
44,Football Match,2022-10-08T11:43:18,87,131,Win,16700,Miss Donna Fields MD
45,Football Match,2024-03-18T03:53:00,41,110,Loss,48661,Ralph Miller
46,Tennis Match,2023-01-03T11:15:57,48,102,Win,41400,Karen Brown
47,Tennis Match,2023-05-06T10:39:33,80,87,Loss,36355,Katherine Lucero
48,Tennis Match,2024-05-02T17:07:53,73,163,Win,39939,Stephanie Baker
49,Tennis Match,2022-09-01T00:28:07,51,107,Loss,36066,Susan Wright
50,Tennis Match,2023-08-25T08:59:48,87,118,Win,33254,Rachel Barr
51,Tennis Match,2023-11-13T09:19:04,38,78,Draw,15452,Scott Villa
52,Football Match,2022-09-28T19:36:11,7,105,Draw,28778,Richard Anderson
53,Football Match,2023-07-01T11:57:04,99,88,Loss,32764,Michael Bates II
54,Tennis Match,2024-06-25T20:52:28,75,91,Draw,18436,Darryl Ray
55,Basketball Game,2023-11-24T17:30:05,74,140,Win,41340,Kim Taylor
56,Football Match,2022-12-17T13:19:01,46,172,Loss,23614,Julie Miller
57,Football Match,2024-06-16T08:41:35,64,96,Loss,5133,Brent Hinton
58,Basketball Game,2024-04-04T19:50:06,17,72,Win,40705,Brandon Walls
59,Basketball Game,2024-06-03T20:50:57,2,132,Draw,28574,Ricky Harris
60,Tennis Match,2022-10-26T05:48:43,60,63,Win,12807,Lori Hernandez
61,Football Match,2024-06-21T17:49:45,59,144,Loss,46988,Brandon Cruz
62,Football Match,2023-08-21T15:43:16,67,175,Loss,39535,Charlene Ryan
63,Basketball Game,2022-10-06T19:08:03,30,178,Loss,20158,Melissa Williams
64,Tennis Match,2024-03-22T18:44:41,71,90,Draw,36328,Travis Haynes
65,Tennis Match,2024-02-12T22:11:28,43,98,Loss,42317,Gary Smith
66,Football Match,2023-05-02T07:29:46,16,168,Loss,31628,Daniel White
67,Tennis Match,2023-12-07T10:43:24,43,91,Draw,27594,Kyle Deleon
68,Tennis Match,2024-03-02T22:23:57,55,133,Draw,11111,Elizabeth Stewart
69,Football Match,2022-08-28T08:15:32,31,96,Draw,30932,Heather Stein DDS
70,Football Match,2022-11-16T13:34:50,31,121,Loss,26084,Erin Hubbard
71,Football Match,2023-12-14T08:02:04,50,137,Draw,22215,Jacob Watson
72,Basketball Game,2023-10-07T16:48:22,92,175,Loss,9043,Jose Montgomery
73,Tennis Match,2023-08-25T13:27:00,44,113,Win,34215,Shawn Hall
74,Basketball Game,2023-02-16T02:36:02,95,148,Draw,21334,Robert Williamson
75,Basketball Game,2022-10-06T09:05:46,75,81,Win,47782,Corey Wilson
76,Basketball Game,2024-07-12T05:32:39,38,64,Draw,30522,Christine Jones
77,Tennis Match,2023-08-18T18:20:25,48,128,Win,32944,Kathryn Campbell
78,Tennis Match,2024-08-06T09:05:40,39,176,Loss,41347,Andre Shepard
79,Tennis Match,2024-01-06T10:31:00,44,126,Draw,27330,Glenn Andrews
80,Tennis Match,2023-07-20T17:59:09,59,142,Loss,46081,Adam Schroeder
81,Tennis Match,2023-11-22T22:20:40,35,144,Loss,18927,Francis Hobbs
82,Basketball Game,2023-07-28T04:02:16,10,163,Draw,34051,Thomas Gordon
83,Football Match,2024-07-19T20:39:42,61,170,Draw,48755,Joe Jenkins
84,Football Match,2023-01-30T03:02:28,33,99,Draw,31502,Marco Charles
85,Football Match,2023-06-03T23:57:58,82,166,Loss,49614,Jessica Gonzalez
86,Football Match,2023-06-05T04:38:52,50,157,Loss,44575,Curtis Flynn
87,Football Match,2022-11-27T07:39:32,38,96,Win,18922,Kaitlyn Watson
88,Football Match,2024-04-22T09:09:46,29,108,Loss,26036,James White
89,Basketball Game,2023-09-23T15:28:25,67,173,Win,31654,Angela Smith
90,Tennis Match,2024-06-23T20:22:34,18,130,Draw,43782,Lisa Kelly
91,Football Match,2022-11-30T02:47:42,43,115,Win,18435,Joshua Gregory
92,Tennis Match,2024-05-02T11:27:03,65,152,Loss,45979,Monica Anderson
93,Football Match,2024-04-28T03:01:03,54,174,Draw,49511,James Yates
94,Football Match,2023-11-29T11:47:45,97,69,Loss,7722,Mary Schwartz
95,Football Match,2022-12-04T08:16:18,17,89,Draw,27252,Edwin Johnson
96,Basketball Game,2022-09-02T21:16:50,33,118,Win,44814,Ryan Hays
97,Tennis Match,2023-09-13T16:46:34,12,119,Win,29810,Michael Frost
98,Basketball Game,2022-11-06T16:33:30,30,93,Win,46120,Mrs. Tiffany Lawrence
99,Tennis Match,2023-12-20T09:42:29,74,120,Loss,49170,Amy Mooney
