ContentID,tags,director
1,"painting, born, fire",Mark Alvarado
2,"true, which, site",Lisa Chandler
3,"sell, change, outside",Dillon Knight
4,"sport, establish, effect",Marcus Patterson
5,"these, memory, test",Alicia Anthony
6,"behind, turn, ground",Jessica Mcfarland
7,"professor, book, front",Michael Salazar
8,"represent, join, south",Christopher Mejia
9,"information, top, figure",Howard Ayers
10,"their, son, us",Robert Welch
11,"word, glass, trip",Kevin Sanchez
12,"course, young, large",Samuel Hardin
13,"stock, recent, alone",Shane Powell
14,"just, central, either",Jacob Erickson
15,"plan, church, close",Jason Hardin
16,"too, box, brother",Maria Wagner
17,"manage, determine, answer",Ricardo Johnson
18,"management, history, realize",Brandy Harris
19,"determine, list, response",Jonathon Rodriguez
20,"say, during, final",Karen Henry
21,"always, fear, cold",Mr. Keith Jones DVM
22,"century, institution, either",Shaun Taylor
23,"rather, above, current",Matthew Brewer
24,"half, vote, mouth",Jennifer Brown
25,"one, continue, interest",Tammy Jackson
26,"produce, religious, use",Jake Flores
27,"answer, learn, manage",Patrick Chavez
28,"sense, bad, receive",Michael Cooper
29,"plan, thing, tell",Dennis Cameron
30,"everything, night, east",Charles Thomas
31,"affect, discuss, change",Eric Tucker
32,"quite, risk, big",Stephanie Mack
33,"matter, open, area",Kelli Walker
34,"that, arrive, maybe",Hannah Andrade
35,"mean, arrive, hard",Laura Smith
36,"part, describe, quite",Jeffrey Wilson
37,"wrong, war, change",Jill Jackson
38,"look, industry, institution",Christina Mckee
39,"something, begin, poor",Heather Rodgers
40,"conference, person, few",Miss Ana Bailey MD
41,"fund, best, significant",John Vasquez
42,"skill, music, those",Joe Olson
43,"deep, total, main",Brittany Martin
44,"good, scientist, audience",Margaret Jackson
45,"color, majority, physical",Glenn Mccann
46,"include, he, race",Rachel Carter
47,"mind, physical, form",Robert Lindsey
48,"science, trouble, sister",Sydney Norman
49,"affect, issue, hot",William Rojas
50,"since, office, including",Amanda Proctor
51,"national, structure, project",Lynn Allen
52,"mouth, individual, long",Teresa Silva
53,"agency, computer, finally",David Cohen
54,"something, field, list",Teresa Morrison
55,"perhaps, interview, forget",Kevin Richards
56,"before, significant, film",Jamie Pham
57,"success, property, hear",Heather Hanson
58,"save, under, our",David Ramos
59,"do, himself, benefit",Angela Finley
60,"common, growth, air",Sharon Hunt
61,"sport, help, group",Teresa Velazquez
62,"available, difference, north",Matthew Reid
63,"else, range, lot",Lance Bush
64,"human, hotel, level",Amanda Hawkins
65,"ahead, seek, magazine",Richard Alexander DDS
66,"price, recently, gun",Jessica Carlson
67,"discover, career, major",Sarah Montes
68,"its, nothing, center",Elizabeth Valencia
69,"hair, management, house",Kevin Bender
70,"another, statement, right",Kristy Freeman
71,"way, high, plant",Monica Garcia
72,"during, line, eye",Andre Cruz
73,"company, health, hard",Corey Stewart
74,"two, job, raise",Reginald Thompson
75,"one, less, they",Jonathan Deleon
76,"theory, page, close",Bradley Berger
77,"never, author, cup",Ellen Barnett
78,"one, small, evidence",Lindsay Waller
79,"ever, time, build",Michele Saunders
80,"decision, attack, add",Russell Thompson
81,"process, hand, drug",Elizabeth Wheeler
82,"I, watch, exactly",Jeff Willis
83,"catch, training, phone",Leonard Hernandez
84,"model, understand, force",Dana Bennett
85,"feeling, room, nor",Gary Chen
86,"through, attack, pick",Kristie Sanders
87,"art, customer, organization",Herbert Anderson
88,"authority, media, practice",Brittany Stanley
89,"design, necessary, international",Daryl Delgado
90,"start, Democrat, student",Jose Stewart
91,"production, then, heavy",Nathan Martin
92,"ten, suddenly, court",Meagan Cunningham
93,"way, book, reflect",Gary Cohen
94,"but, building, which",Amanda Santiago
95,"small, voice, discover",Cheryl Ayers
96,"nor, others, coach",Christian Jones
97,"stop, drive, suddenly",Mary Woodward
98,"kind, pick, cut",John West
99,"only, those, southern",Kristy Robinson
100,"television, list, test",Michael Mitchell
101,"ahead, buy, bar",Joshua Burnett
102,"soldier, with, bag",Carrie Henry
103,"anything, two, artist",Samantha Vazquez
104,"even, anyone, similar",Keith Fleming
105,"international, develop, affect",Daniel Hammond
106,"measure, help, environmental",William Tucker
107,"subject, public, member",Thomas Taylor
