ViewerID,Sport
1,Football
1,Tennis
2,Football
2,Baseball
3,Baseball
3,Football
4,Tennis
4,Baseball
5,Football
5,Tennis
6,Baseball
6,Basketball
7,Football
7,Basketball
8,Basketball
8,Baseball
9,Baseball
9,Football
10,Basketball
10,Baseball
11,Basketball
11,Baseball
12,Basketball
12,Baseball
13,Tennis
13,Basketball
14,Basketball
14,Football
15,Baseball
15,Football
16,Football
16,Tennis
17,Tennis
17,Football
18,Baseball
18,Basketball
19,Basketball
19,Tennis
20,Football
20,Basketball
21,Football
21,Baseball
22,Football
22,Tennis
23,Tennis
23,Basketball
24,Tennis
24,Football
25,Basketball
25,Football
26,Basketball
26,Football
27,Tennis
27,Football
28,Football
28,Baseball
29,Football
29,Tennis
30,Football
30,Basketball
31,Baseball
31,Basketball
32,Tennis
32,Baseball
33,Tennis
33,Football
34,Baseball
34,Football
35,Baseball
35,Tennis
36,Basketball
36,Baseball
37,Basketball
37,Baseball
38,Baseball
38,Basketball
39,Basketball
39,Tennis
40,Baseball
40,Tennis
41,Baseball
41,Football
42,Tennis
42,Football
43,Football
43,Baseball
44,Basketball
44,Baseball
45,Baseball
45,Tennis
46,Football
46,Baseball
47,Baseball
47,Basketball
48,Football
48,Tennis
49,Football
49,Baseball
50,Basketball
50,Baseball
51,Baseball
51,Tennis
52,Basketball
52,Baseball
53,Tennis
53,Baseball
54,Baseball
54,Tennis
55,Basketball
55,Football
56,Basketball
56,Football
57,Baseball
57,Basketball
58,Basketball
58,Baseball
59,Basketball
59,Football
60,Basketball
60,Tennis
61,Football
61,Tennis
62,Baseball
62,Basketball
63,Basketball
63,Football
64,Football
64,Basketball
65,Basketball
65,Baseball
66,Football
66,Baseball
67,Tennis
67,Football
68,Baseball
68,Basketball
69,Basketball
69,Tennis
70,Football
70,Baseball
71,Football
71,Basketball
72,Football
72,Basketball
73,Baseball
73,Tennis
74,Tennis
74,Basketball
75,Football
75,Baseball
76,Football
76,Basketball
77,Basketball
77,Baseball
78,Tennis
78,Baseball
79,Baseball
79,Tennis
80,Baseball
80,Tennis
81,Football
81,Tennis
82,Tennis
82,Basketball
83,Tennis
83,Football
84,Baseball
84,Tennis
85,Football
85,Baseball
86,Baseball
86,Football
87,Baseball
87,Football
88,Tennis
88,Basketball
89,Tennis
89,Baseball
90,Tennis
90,Football
91,Baseball
91,Basketball
92,Tennis
92,Football
93,Tennis
93,Football
94,Tennis
94,Football
95,Basketball
95,Baseball
96,Basketball
96,Tennis
97,Baseball
97,Tennis
98,Football
98,Baseball
99,Tennis
99,Baseball
100,Tennis
100,Football
101,Baseball
101,Tennis
102,Football
102,Tennis
103,Baseball
103,Football
104,Basketball
104,Tennis
105,Tennis
105,Football
106,Tennis
106,Basketball
107,Football
107,Baseball
108,Baseball
108,Tennis
109,Baseball
109,Tennis
110,Tennis
110,Baseball
111,Baseball
111,Tennis
112,Basketball
112,Tennis
113,Baseball
113,Tennis
114,Baseball
114,Tennis
115,Basketball
115,Football
116,Basketball
116,Tennis
117,Football
117,Tennis
118,Baseball
118,Football
119,Baseball
119,Basketball
120,Baseball
120,Basketball
121,Basketball
121,Baseball
122,Baseball
122,Tennis
123,Basketball
123,Football
124,Tennis
124,Basketball
125,Basketball
125,Baseball
126,Football
126,Baseball
127,Tennis
127,Basketball
128,Football
128,Basketball
129,Baseball
129,Basketball
130,Basketball
130,Tennis
131,Basketball
131,Football
132,Basketball
132,Tennis
133,Basketball
133,Baseball
134,Football
134,Tennis
135,Tennis
135,Football
136,Football
136,Basketball
137,Football
137,Tennis
138,Basketball
138,Football
139,Tennis
139,Basketball
140,Tennis
140,Football
141,Baseball
141,Basketball
142,Baseball
142,Basketball
143,Basketball
143,Baseball
144,Baseball
144,Basketball
145,Baseball
145,Basketball
146,Baseball
146,Tennis
147,Tennis
147,Baseball
148,Football
148,Tennis
149,Football
149,Basketball
150,Basketball
150,Football
151,Basketball
151,Tennis
152,Baseball
152,Tennis
153,Tennis
153,Football
154,Basketball
154,Baseball
155,Football
155,Basketball
156,Basketball
156,Baseball
157,Basketball
157,Baseball
158,Football
158,Basketball
159,Football
159,Tennis
160,Baseball
160,Football
161,Baseball
161,Football
162,Football
162,Tennis
163,Football
163,Baseball
164,Basketball
164,Football
165,Baseball
165,Basketball
166,Football
166,Basketball
167,Football
167,Baseball
168,Basketball
168,Baseball
169,Tennis
169,Basketball
170,Football
170,Tennis
171,Baseball
171,Basketball
172,Tennis
172,Basketball
173,Baseball
173,Football
174,Tennis
174,Baseball
175,Football
175,Basketball
