SponsorID,SponsorName,Industry,SponsorshipType,ContractValue,ContractDuration
1,Cook Ltd,Technology,Kit Sponsor,5871662.729332551,9
2,"Gallagher, Romero and Fisher",Technology,Kit Sponsor,3910614.340967942,6
3,"Black, Sanders and Lee",Apparel,Kit Sponsor,3448129.4563464387,2
4,"Torres, Long and Roth",Technology,Title Sponsor,3390958.674674392,3
5,"Williams, Hernandez and Herrera",Apparel,Title Sponsor,6177767.495957757,2
6,Brown PLC,Finance,Kit Sponsor,9254845.626537004,2
7,Murphy-Holland,Finance,Title Sponsor,8227825.890600424,7
8,"Cooper, Shelton and Yoder",Apparel,Title Sponsor,8524152.706559472,9
9,Mitchell-Smith,Apparel,Kit Sponsor,546057.5620857301,1
10,Larson and Sons,Finance,Title Sponsor,8676311.046207972,4
11,"Jackson, Miranda and Nelson",Apparel,Kit Sponsor,9854027.6995475,10
12,Carter and Sons,Apparel,Title Sponsor,1168189.9433635157,6
13,Mitchell-York,Finance,Kit Sponsor,6954659.674660387,10
14,Short Inc,Technology,Title Sponsor,7696398.704480989,2
15,Zamora-Moreno,Apparel,Kit Sponsor,5607245.910695506,2
16,Johnson-Taylor,Apparel,Kit Sponsor,3690704.7388947983,9
17,Freeman-Andrade,Finance,Title Sponsor,5820367.018277157,10
18,Mercado-Jones,Finance,Title Sponsor,3559032.4184626425,8
19,Stephens-Vasquez,Technology,Kit Sponsor,8338984.007838373,4
20,Miranda-Garcia,Technology,Kit Sponsor,3422181.9158861144,7
21,Swanson-Norris,Finance,Kit Sponsor,8183077.262321626,8
22,Parker Inc,Finance,Kit Sponsor,3138708.5025409404,6
23,Shepherd Group,Apparel,Title Sponsor,4855642.773275073,9
24,"Miller, Henson and Campos",Technology,Title Sponsor,879980.9404136664,4
25,Fuller-Spears,Apparel,Title Sponsor,1635839.7891717558,10
26,"Smith, Brown and Harrison",Apparel,Title Sponsor,7596094.275244103,10
27,"Kelley, Leon and Moore",Technology,Kit Sponsor,2684101.394254622,9
28,Hendricks-West,Apparel,Title Sponsor,1913198.3145752577,10
29,Koch-Taylor,Technology,Title Sponsor,9331389.18744954,10
30,Powell-Johnson,Technology,Kit Sponsor,7002573.072926667,7
31,"Sawyer, Knight and Nelson",Finance,Title Sponsor,6544367.23956356,10
32,Martinez-Castillo,Finance,Kit Sponsor,1219399.2681827578,9
33,"Jackson, Garcia and Jacobs",Finance,Kit Sponsor,9539190.223272068,2
34,Jackson PLC,Apparel,Kit Sponsor,986483.304222489,5
35,Montoya-Clark,Finance,Kit Sponsor,3883371.242548515,6
36,"Sanchez, Sanford and Lucero",Finance,Title Sponsor,7703596.366437954,10
37,Jones-Ford,Technology,Kit Sponsor,2787286.842487104,8
38,Griffin PLC,Technology,Kit Sponsor,6927656.452227265,5
39,"Lin, Sanders and Davis",Technology,Kit Sponsor,7097891.766851871,4
40,Garcia-Mclean,Technology,Kit Sponsor,5757139.038668915,9
41,Brown PLC,Apparel,Kit Sponsor,7766339.662333546,4
42,Giles PLC,Apparel,Title Sponsor,7585016.552386207,8
43,Cuevas-Anderson,Apparel,Title Sponsor,9579921.67543205,5
44,"Smith, Barrett and Estrada",Apparel,Title Sponsor,5949861.425128402,10
45,Ross and Sons,Technology,Title Sponsor,7508385.74391162,4
46,Roman Group,Finance,Kit Sponsor,9193060.752553215,3
47,Solis-Fernandez,Finance,Title Sponsor,1382661.5971885712,3
48,Ramirez LLC,Apparel,Kit Sponsor,9118523.675565852,8
49,"Smith, Oliver and Rasmussen",Finance,Kit Sponsor,1993750.458727208,8
50,"Keller, Smith and Jacobs",Finance,Kit Sponsor,8396693.747467829,8
