SubscriptionID,ViewerID,SubscriptionType,StartDate,EndDate,RenewalStatus,PaymentMethod,ActiveStatus,LastRenewalDate,SubscriptionTier
1,141,Premium,2023-04-09T19:52:52,2024-02-02T22:21:49,False,Debit Card,True,2023-12-23T20:40:58,Standard
2,924,Basic,2022-06-17T16:05:58,2023-10-13T19:21:08,True,PayPal,False,2023-12-06T01:19:25,Premium
3,418,Premium,2023-02-27T22:36:03,2024-08-11T12:08:44,True,Debit Card,False,2024-05-05T12:00:39,Premium
4,677,Basic,2022-07-16T20:04:42,2024-05-10T03:27:38,False,Credit Card,True,2024-01-14T04:46:31,Basic
5,328,Standard,2022-02-09T03:42:54,2024-05-15T19:04:26,True,Credit Card,False,2023-12-11T01:46:53,Basic
6,131,Premium,2023-01-16T02:05:08,2024-07-01T03:59:26,False,PayPal,False,2024-08-11T05:52:24,Basic
7,159,Basic,2022-09-19T02:17:15,2024-07-29T14:51:45,False,PayPal,False,2024-07-18T04:46:13,Basic
8,587,Standard,2023-02-26T17:39:55,2024-03-19T17:10:54,True,Debit Card,False,2023-09-07T20:52:09,Standard
9,564,Basic,2022-08-25T05:36:38,2024-04-15T13:30:00,False,Credit Card,True,2024-02-13T04:08:44,Standard
10,913,Standard,2021-09-24T17:49:00,2024-05-13T17:57:20,True,Debit Card,False,2024-01-30T01:58:51,Standard
11,972,Basic,2023-06-03T00:12:46,2024-01-06T18:17:40,True,PayPal,True,2024-01-13T19:08:55,Basic
12,318,Standard,2021-11-13T15:05:23,2023-12-29T12:20:24,True,Debit Card,True,2024-01-15T09:48:18,Standard
13,361,Basic,2021-11-18T13:29:02,2023-12-01T15:09:39,False,Credit Card,False,2024-03-24T06:19:59,Premium
14,838,Standard,2021-08-22T15:09:39,2024-04-14T03:53:17,False,PayPal,False,2023-11-14T07:26:42,Standard
15,106,Premium,2023-07-27T01:40:38,2023-09-09T02:19:51,True,Debit Card,True,2024-07-26T07:21:32,Basic
16,961,Premium,2021-09-16T01:49:03,2024-06-26T22:40:57,True,Credit Card,True,2023-12-06T12:52:53,Standard
17,934,Standard,2023-02-16T06:39:00,2024-02-07T13:41:41,True,PayPal,True,2024-04-13T05:21:18,Premium
18,96,Basic,2022-07-23T04:45:06,2024-03-31T00:29:15,True,Credit Card,False,2024-01-19T12:12:23,Premium
19,911,Standard,2021-09-21T17:31:06,2024-01-04T16:00:59,False,Debit Card,False,2023-12-10T06:27:36,Basic
20,774,Premium,2022-02-17T00:01:53,2023-12-22T22:07:35,True,Credit Card,True,2023-09-04T18:57:03,Premium
21,953,Basic,2022-10-22T01:35:11,2024-05-24T04:11:55,False,PayPal,False,2023-12-24T03:09:12,Premium
22,347,Premium,2022-07-08T11:09:58,2024-06-04T03:21:53,False,Debit Card,False,2023-10-26T01:20:31,Premium
23,182,Basic,2021-08-19T20:14:51,2024-02-26T06:25:10,False,Credit Card,True,2023-10-16T13:53:14,Standard
24,334,Basic,2023-05-12T17:05:44,2024-07-04T05:28:40,True,Credit Card,True,2024-05-11T09:15:49,Standard
25,15,Standard,2022-07-25T04:29:50,2024-03-05T11:22:06,True,Debit Card,False,2023-12-11T12:55:40,Premium
26,624,Premium,2022-02-07T12:05:15,2024-04-25T10:24:53,True,PayPal,False,2023-12-30T21:33:14,Premium
27,626,Standard,2023-02-14T23:08:41,2024-07-09T23:20:51,True,PayPal,True,2023-11-23T05:53:34,Standard
28,80,Basic,2022-02-08T16:05:33,2023-10-31T09:45:40,False,Debit Card,False,2024-04-08T19:26:48,Basic
29,826,Basic,2022-11-14T05:46:47,2024-08-12T17:04:25,True,Credit Card,False,2023-08-24T07:41:53,Basic
30,77,Premium,2021-10-16T19:59:13,2024-07-10T15:16:09,True,Debit Card,False,2024-07-29T12:33:35,Premium
31,652,Standard,2022-07-29T17:46:30,2024-03-22T16:28:30,True,Credit Card,False,2024-07-05T00:19:14,Premium
32,455,Standard,2022-05-26T03:22:44,2023-11-22T23:54:50,False,Debit Card,False,2024-05-16T01:48:00,Basic
33,287,Standard,2022-04-04T06:34:47,2024-01-25T02:04:57,False,PayPal,True,2024-08-05T12:05:06,Basic
34,500,Standard,2022-02-27T00:54:13,2023-10-03T13:47:12,True,PayPal,False,2024-04-13T18:28:11,Basic
