AdID,AgeRange,Interests
1,21-42,"Basketball, Tennis"
2,22-40,"Baseball, Tennis"
3,22-26,"Tennis, Basketball"
4,25-46,"Baseball, Tennis"
5,18-27,"Football, Baseball"
6,18-41,"Basketball, Football"
7,19-61,"Football, Basketball"
8,24-55,"Tennis, Baseball"
9,20-45,"Basketball, Football"
10,19-50,"Baseball, Football"
11,22-34,"Basketball, Tennis"
12,24-60,"Football, Baseball"
13,24-50,"Basketball, Football"
14,23-64,"Football, Baseball"
15,19-49,"Basketball, Football"
16,23-49,"Football, Tennis"
17,19-39,"Tennis, Baseball"
18,23-64,"Football, Tennis"
19,20-49,"Baseball, Basketball"
20,18-64,"Basketball, Baseball"
21,22-36,"Basketball, Football"
22,18-27,"Baseball, Basketball"
23,23-57,"Tennis, Basketball"
24,25-39,"Tennis, Basketball"
25,25-53,"Tennis, Football"
26,24-42,"Basketball, Football"
27,19-49,"Tennis, Baseball"
28,18-40,"Football, Tennis"
29,22-33,"Baseball, Football"
30,19-29,"Basketball, Football"
31,23-27,"Basketball, Tennis"
32,22-29,"Basketball, Football"
33,18-50,"Football, Basketball"
34,25-62,"Tennis, Basketball"
35,22-43,"Tennis, Basketball"
36,25-43,"Tennis, Basketball"
37,23-57,"Football, Tennis"
38,24-54,"Basketball, Football"
39,18-60,"Baseball, Basketball"
40,19-44,"Baseball, Football"
41,22-34,"Basketball, Tennis"
42,25-40,"Baseball, Football"
43,21-38,"Baseball, Football"
44,24-38,"Football, Basketball"
45,20-35,"Football, Tennis"
46,19-43,"Basketball, Tennis"
47,25-34,"Football, Baseball"
48,21-62,"Football, Baseball"
49,19-56,"Basketball, Football"
50,18-43,"Tennis, Basketball"
51,22-61,"Basketball, Baseball"
52,18-33,"Football, Baseball"
53,20-39,"Tennis, Football"
54,18-34,"Basketball, Baseball"
55,20-61,"Football, Baseball"
56,22-63,"Baseball, Tennis"
57,23-61,"Baseball, Tennis"
58,23-63,"Football, Basketball"
59,23-49,"Basketball, Football"
60,25-44,"Baseball, Football"
61,21-57,"Tennis, Football"
62,22-27,"Tennis, Basketball"
63,21-54,"Tennis, Baseball"
64,22-43,"Football, Tennis"
65,20-35,"Basketball, Baseball"
66,23-41,"Baseball, Football"
67,24-27,"Basketball, Tennis"
68,21-54,"Tennis, Football"
69,22-57,"Baseball, Basketball"
70,21-37,"Basketball, Football"
71,23-37,"Tennis, Baseball"
72,21-57,"Basketball, Tennis"
73,23-48,"Baseball, Football"
74,19-55,"Basketball, Tennis"
75,23-43,"Tennis, Basketball"
76,24-32,"Basketball, Football"
77,19-64,"Baseball, Tennis"
78,24-46,"Football, Baseball"
79,20-49,"Football, Tennis"
80,18-58,"Basketball, Football"
81,22-50,"Tennis, Basketball"
82,22-27,"Baseball, Basketball"
83,24-38,"Tennis, Basketball"
84,20-47,"Basketball, Baseball"
85,25-41,"Basketball, Football"
86,18-38,"Tennis, Basketball"
87,25-29,"Tennis, Football"
88,18-58,"Basketball, Tennis"
89,19-40,"Basketball, Baseball"
90,18-44,"Football, Basketball"
91,25-49,"Tennis, Football"
92,18-28,"Basketball, Tennis"
93,24-33,"Football, Baseball"
94,24-45,"Tennis, Basketball"
95,18-30,"Football, Tennis"
96,22-65,"Tennis, Basketball"
97,23-41,"Basketball, Tennis"
98,22-57,"Tennis, Basketball"
99,20-53,"Football, Baseball"
100,21-51,"Tennis, Football"
101,23-26,"Football, Tennis"
102,20-56,"Basketball, Football"
103,25-56,"Baseball, Basketball"
104,22-26,"Baseball, Football"
105,24-36,"Football, Tennis"
106,23-45,"Football, Tennis"
107,21-34,"Football, Baseball"
108,23-61,"Football, Baseball"
109,25-43,"Tennis, Football"
110,22-52,"Tennis, Basketball"
111,22-64,"Tennis, Football"
112,21-38,"Basketball, Baseball"
113,22-65,"Basketball, Tennis"
114,25-61,"Tennis, Baseball"
115,25-37,"Tennis, Baseball"
116,24-48,"Football, Basketball"
117,25-54,"Tennis, Basketball"
118,18-48,"Basketball, Tennis"
119,18-58,"Football, Baseball"
120,23-29,"Tennis, Football"
121,18-58,"Baseball, Basketball"
122,19-40,"Football, Tennis"
123,20-28,"Football, Tennis"
124,23-38,"Basketball, Baseball"
125,20-26,"Football, Basketball"
126,20-47,"Tennis, Baseball"
127,20-46,"Football, Baseball"
128,21-29,"Baseball, Basketball"
129,19-44,"Tennis, Football"
130,18-54,"Baseball, Tennis"
131,24-52,"Football, Baseball"
132,19-27,"Football, Baseball"
133,23-37,"Baseball, Basketball"
134,25-41,"Basketball, Football"
135,22-32,"Baseball, Tennis"
136,22-32,"Baseball, Football"
137,19-64,"Tennis, Basketball"
138,18-44,"Basketball, Football"
139,23-31,"Football, Baseball"
140,21-62,"Football, Basketball"
141,19-43,"Baseball, Football"
142,20-28,"Tennis, Basketball"
143,21-30,"Basketball, Baseball"
144,23-63,"Tennis, Football"
145,21-27,"Football, Tennis"
146,20-33,"Football, Baseball"
147,24-53,"Basketball, Football"
148,22-54,"Football, Tennis"
149,23-61,"Tennis, Baseball"
150,24-40,"Baseball, Basketball"
151,25-61,"Football, Baseball"
152,24-54,"Baseball, Tennis"
153,23-52,"Football, Basketball"
154,22-63,"Baseball, Basketball"
155,24-60,"Football, Basketball"
156,22-49,"Baseball, Basketball"
157,19-41,"Baseball, Football"
158,22-29,"Basketball, Football"
159,19-39,"Football, Basketball"
160,20-50,"Basketball, Tennis"
161,18-55,"Basketball, Football"
162,24-28,"Basketball, Baseball"
163,22-50,"Football, Tennis"
164,23-46,"Baseball, Football"
165,24-64,"Tennis, Baseball"
166,23-44,"Baseball, Tennis"
167,24-27,"Basketball, Football"
168,18-44,"Football, Basketball"
169,25-29,"Tennis, Football"
170,25-40,"Basketball, Tennis"
171,22-27,"Basketball, Football"
172,20-61,"Baseball, Football"
173,22-54,"Football, Basketball"
174,22-40,"Basketball, Tennis"
175,18-32,"Baseball, Tennis"
176,23-46,"Football, Baseball"
177,19-39,"Football, Tennis"
178,21-59,"Football, Basketball"
179,18-26,"Baseball, Football"
180,23-30,"Baseball, Basketball"
181,24-61,"Football, Tennis"
182,24-59,"Baseball, Tennis"
183,18-47,"Baseball, Tennis"
184,22-58,"Football, Tennis"
185,25-38,"Football, Baseball"
186,18-62,"Tennis, Basketball"
187,18-45,"Basketball, Tennis"
188,23-59,"Football, Baseball"
189,20-39,"Basketball, Baseball"
190,22-42,"Football, Baseball"
191,19-40,"Baseball, Basketball"
192,18-31,"Football, Baseball"
193,25-45,"Football, Basketball"
194,21-52,"Tennis, Football"
195,18-39,"Baseball, Tennis"
196,20-63,"Tennis, Football"
197,20-60,"Basketball, Tennis"
198,23-26,"Tennis, Baseball"
199,18-47,"Football, Baseball"
200,25-50,"Basketball, Baseball"
