TeamID,Name,League,Coach,HomeStadium,ChampionshipsWon,FoundedYear,Mascot
1,"Lee, Davis and Dean",MLB,Leslie Hudson,64,9,1993,William
2,Owens-Kaiser,NFL,Bryan Saunders,93,1,1919,Adam
3,Payne Ltd,MLB,Tina Graham,28,5,1946,Lisa
4,Schwartz-Green,NBA,Amanda Mercer,91,6,2004,David
5,Medina-Lowe,NFL,Jennifer Matthews,75,3,1914,Brandon
6,Flowers-Ramirez,NBA,Mr. Zachary Andersen,82,1,2020,Gregory
7,Hill-Lynch,MLB,James Murphy,15,3,1916,Rachel
8,"Taylor, Hale and Simpson",MLB,Robin Jones,45,3,1912,Duane
9,"Hicks, Evans and Lewis",NFL,Christopher Wallace,67,4,1962,Emily
10,Taylor-Lee,NBA,David Martin,57,8,1929,Daniel
11,"Heath, Phillips and Davis",NFL,Andrew Jackson,76,0,1990,Shane
12,Rice-Hanna,NFL,Michael Warren,32,6,1945,Linda
13,Garcia-Hicks,NBA,Kristin Kirk,32,1,1946,Samuel
14,Barnes Ltd,MLB,Rachel Nolan,98,3,1972,James
15,"Thompson, Weiss and Garcia",NFL,Christopher Stanley,19,3,1942,Devon
16,"Boyd, Cherry and Holland",MLB,Catherine Mckinney,62,7,1903,Janet
17,Moss Ltd,NFL,Eric Lin,94,0,1958,Carla
18,Miller PLC,MLB,Eric Kane,62,5,1989,Jacqueline
19,Jackson and Sons,NFL,Megan Munoz,44,0,1915,Lindsay
20,Fisher-Lee,NFL,Donna Cook,29,8,1970,Mark
21,Burnett Ltd,NBA,Jack Duarte,33,9,1920,Stacey
22,Knight-Hill,MLB,Gloria Gilmore,89,4,1982,Patrick
23,Joyce-Bennett,MLB,Jonathan Aguilar,30,3,2005,Carly
24,"Ellis, Phelps and Jordan",NBA,John Whitehead,34,2,2012,Brad
25,Nguyen Inc,MLB,Tammy Mccann,2,2,1917,Stephanie
26,"Zhang, Cherry and Levy",MLB,Angel Atkinson,6,9,1925,Brian
27,"Chapman, Elliott and Johnson",NFL,Frank Wagner,49,6,2007,Heather
28,Smith-Smith,NFL,Charles Jackson,17,6,1928,Deborah
29,"Mueller, Rhodes and Robertson",NBA,Ricardo Mejia,57,8,1905,George
30,Miller-Wolfe,NFL,Gary Bishop,25,1,1987,Leslie
31,Williams-French,NFL,Grant Cook,55,9,1948,Brianna
32,"Roberson, Castaneda and Wagner",MLB,Jamie Martinez,15,8,2019,Angela
33,Barnes Ltd,NBA,Elizabeth Luna,73,5,2004,Rhonda
34,"Henry, Shannon and Newton",NBA,Emily Stafford,24,6,1955,Holly
35,"Morton, Brown and Conner",MLB,Debra Garcia,33,7,1939,Mackenzie
36,"Tyler, Herrera and Griffin",MLB,Tonya Malone,55,2,2017,Sara
37,Fischer Group,NBA,Cathy Avery,20,3,1961,Alexander
38,Donaldson-Ayers,NFL,Lauren Bonilla,95,4,2012,Anthony
39,Carlson-Taylor,NFL,Christina Norris,4,5,1978,Mario
40,"Powell, Adams and Clark",MLB,Meredith Dickson,86,4,1926,Matthew
41,"Johnson, Ochoa and Crawford",NFL,Lee Garcia,32,10,1968,Keith
42,Blanchard-Thomas,MLB,Emily Lopez,58,5,1980,Faith
43,Collins-Gutierrez,MLB,Tracy Rodriguez,86,3,1958,Kimberly
44,"Holden, Bryant and Savage",NFL,Maria Williams,33,5,2000,Sarah
45,Smith-Randolph,NFL,Amber Mccarthy,46,6,2018,William
46,Owen Inc,MLB,Michelle Little,30,4,1931,Steven
47,"Bell, Johnson and Floyd",NBA,David Mendoza,29,3,1924,Michael
48,Woods-Hernandez,NBA,Kenneth Santiago,100,4,1903,Hunter
49,"Parker, Lynn and Higgins",MLB,Allison Mckinney,12,3,1997,Elizabeth
50,Summers-Hart,NBA,Cindy Jennings,83,1,1922,Alexander
