EventID,Team1,Team2
1,Team_3,Team_29
2,Team_20,Team_26
3,Team_17,Team_30
4,Team_16,Team_33
5,Team_4,Team_34
6,Team_11,Team_26
7,Team_12,Team_21
8,Team_18,Team_39
9,Team_18,Team_40
10,Team_4,Team_36
11,Team_16,Team_22
12,Team_13,Team_21
13,Team_14,Team_35
14,Team_9,Team_21
15,Team_13,Team_33
16,Team_19,Team_33
17,Team_19,Team_35
18,Team_8,Team_29
19,Team_2,Team_37
20,Team_11,Team_39
21,Team_4,Team_39
22,Team_10,Team_26
23,Team_7,Team_29
24,Team_11,Team_23
25,Team_17,Team_32
26,Team_17,Team_23
27,Team_18,Team_25
28,Team_2,Team_23
29,Team_10,Team_29
30,Team_8,Team_37
31,Team_2,Team_32
32,Team_12,Team_26
33,Team_16,Team_26
34,Team_14,Team_37
35,Team_2,Team_39
36,Team_4,Team_34
37,Team_7,Team_27
38,Team_7,Team_25
39,Team_1,Team_21
40,Team_6,Team_28
41,Team_11,Team_39
42,Team_19,Team_29
43,Team_19,Team_34
44,Team_6,Team_34
45,Team_11,Team_40
46,Team_3,Team_29
47,Team_11,Team_24
48,Team_16,Team_24
49,Team_4,Team_27
50,Team_18,Team_32
51,Team_11,Team_28
52,Team_14,Team_36
53,Team_15,Team_32
54,Team_19,Team_31
55,Team_6,Team_26
56,Team_12,Team_40
57,Team_15,Team_31
58,Team_9,Team_22
59,Team_11,Team_24
60,Team_5,Team_25
61,Team_17,Team_21
62,Team_14,Team_32
63,Team_7,Team_32
64,Team_10,Team_31
65,Team_7,Team_36
66,Team_4,Team_39
67,Team_8,Team_32
68,Team_4,Team_36
69,Team_9,Team_37
70,Team_5,Team_30
71,Team_8,Team_34
72,Team_18,Team_25
73,Team_13,Team_35
74,Team_6,Team_35
75,Team_5,Team_29
76,Team_14,Team_33
77,Team_8,Team_34
78,Team_18,Team_33
79,Team_20,Team_35
80,Team_7,Team_33
81,Team_13,Team_31
82,Team_6,Team_28
83,Team_16,Team_34
84,Team_12,Team_23
85,Team_11,Team_31
86,Team_10,Team_24
87,Team_19,Team_33
88,Team_5,Team_25
89,Team_15,Team_26
90,Team_2,Team_29
91,Team_5,Team_39
92,Team_9,Team_27
93,Team_13,Team_33
94,Team_5,Team_26
95,Team_9,Team_36
96,Team_10,Team_25
97,Team_2,Team_32
98,Team_16,Team_34
99,Team_17,Team_29
100,Team_3,Team_26
