Temperature,Conditions,EventID
63°F,Sunny,1
75°F,Sunny,2
61°F,Cloudy,3
76°F,Sunny,4
99°F,Cloudy,5
87°F,Cloudy,6
96°F,Sunny,7
84°F,Sunny,8
63°F,Rainy,9
61°F,Cloudy,10
69°F,Cloudy,11
83°F,Rainy,12
75°F,Cloudy,13
72°F,Sunny,14
64°F,Rainy,15
74°F,Cloudy,16
67°F,Sunny,17
88°F,Sunny,18
85°F,Sunny,19
100°F,Rainy,20
90°F,Rainy,21
60°F,Cloudy,22
81°F,Sunny,23
72°F,Rainy,24
76°F,Sunny,25
80°F,Sunny,26
78°F,Cloudy,27
99°F,Rainy,28
68°F,Sunny,29
95°F,Rainy,30
97°F,Rainy,31
95°F,Rainy,32
56°F,Cloudy,33
78°F,Rainy,34
79°F,Rainy,35
67°F,Cloudy,36
94°F,Rainy,37
85°F,Rainy,38
89°F,Cloudy,39
59°F,Sunny,40
67°F,Cloudy,41
93°F,Cloudy,42
92°F,Sunny,43
66°F,Sunny,44
60°F,Cloudy,45
60°F,Rainy,46
62°F,Sunny,47
70°F,Sunny,48
67°F,Rainy,49
95°F,Sunny,50
56°F,Sunny,51
50°F,Sunny,52
78°F,Rainy,53
58°F,Cloudy,54
55°F,Sunny,55
86°F,Rainy,56
91°F,Cloudy,57
71°F,Cloudy,58
73°F,Sunny,59
100°F,Cloudy,60
84°F,Rainy,61
53°F,Cloudy,62
64°F,Rainy,63
56°F,Rainy,64
86°F,Rainy,65
61°F,Sunny,66
98°F,Sunny,67
93°F,Cloudy,68
75°F,Sunny,69
83°F,Rainy,70
71°F,Rainy,71
64°F,Rainy,72
58°F,Sunny,73
66°F,Sunny,74
63°F,Sunny,75
83°F,Rainy,76
60°F,Rainy,77
76°F,Rainy,78
98°F,Rainy,79
76°F,Rainy,80
80°F,Rainy,81
67°F,Rainy,82
54°F,Rainy,83
52°F,Cloudy,84
89°F,Cloudy,85
79°F,Sunny,86
87°F,Sunny,87
89°F,Cloudy,88
85°F,Sunny,89
85°F,Rainy,90
54°F,Cloudy,91
100°F,Sunny,92
69°F,Sunny,93
81°F,Cloudy,94
98°F,Sunny,95
72°F,Cloudy,96
61°F,Sunny,97
91°F,Rainy,98
77°F,Cloudy,99
61°F,Rainy,100
