Party Name,Global / Local Entity,Global / Parent Account,Party ID,Subsidiary Name,Relationship Type,Region,Account Manager
Williams-Johnson,Global,Baird-Krause Holdings,CUST-10665,"Murphy, Davis and Pugh EU",Parent,Europe,Ashley Delacruz
Jordan-Brock,Local,Giles-Gallagher Holdings,CUST-10585,Copeland-Campbell APAC,Parent,North America,Aaron West
Allen Group,Global,"Moore, Holdings",CUST-10775,"Cortez, Brown and Brown US",Parent,Europe,Todd Allen
Evans Ltd,Local,Gutierrez Holdings,CUST-10840,Baird-Joyce EMEA,Parent,APAC,Mario Richard
"Thomas, Yates and Chen",Local,Johnson Holdings,CUST-10886,Velazquez Inc APAC,Parent,Middle East,Shawn Neal
"Martinez, Alvarez and Pena",Local,Edwards-Jordan Holdings,CUST-10621,Yates PLC India,Division,North America,Bryce Dean
Mcguire and Sons,Local,Bishop-Gonzalez Holdings,CUST-10246,Martinez-Crawford EMEA,Parent,APAC,Robert Santiago
"Lewis, Cross and Huber",Local,Torres Holdings,CUST-10833,Palmer-Smith India,Subsidiary,Middle East,Megan Esparza
"Haynes, Evans and Hardin",Local,"Jimenez, Holdings",CUST-10188,Lopez Inc India,Subsidiary,LATAM,Jacob Ortega
"Clark, Ramirez and Chambers",Global,"Clark, Holdings",CUST-10261,Clark-Patton US,Parent,Middle East,Sean Murray
"Howard, Morris and Patterson",Global,Simpson-Ray Holdings,CUST-10567,"Li, Lewis and Gardner EU",Parent,North America,Christopher Singh
Trujillo-Daniel,Local,"Anderson, Holdings",CUST-10034,"Espinoza, Carter and Romero UK",Subsidiary,APAC,David Russo
Jordan-Lee,Local,Gutierrez Holdings,CUST-10232,Huerta PLC EU,Division,North America,Sarah Newman
"Smith, Adams and Lee",Global,Hart Holdings,CUST-10182,Ray Inc EU,Parent,Europe,Brandon Stokes
Miller-Knight,Local,Gordon Holdings,CUST-10551,Reyes LLC UK,Subsidiary,Middle East,Douglas Brooks
Martinez-Clark,Global,"Valdez, Holdings",CUST-10785,Mitchell and Sons EU,Parent,LATAM,Joann Robertson
Townsend-Gould,Local,Chen-Stanton Holdings,CUST-10185,Combs-Harrison APAC,Joint Venture,LATAM,Sarah Mcintyre
"Douglas, Cook and Perez",Global,Roman Holdings,CUST-10853,"Brown, Wheeler and Carroll US",Subsidiary,LATAM,Heather Mcfarland
Acosta-Matthews,Global,Buckley Holdings,CUST-10260,"Gonzalez, Benitez and Schroeder EMEA",Parent,LATAM,Mrs. Dawn Moore
James Group,Global,"Evans, Holdings",CUST-10541,Bartlett and Sons EU,Parent,LATAM,Craig Ferguson
Wells LLC,Global,Page-Warner Holdings,CUST-10081,"Le, Hansen and Gross EMEA",Parent,LATAM,Shannon Mitchell
Wood LLC,Local,"Jackson, Holdings",CUST-10288,"Lee, Shaw and Rogers US",Parent,APAC,Jacob Ferguson
"Williams, Anderson and Rosales",Global,Christensen Holdings,CUST-10609,Rich PLC EU,Subsidiary,North America,Christopher Hughes
King-Buchanan,Global,"Baker, Holdings",CUST-10625,"Hoffman, Davis and Gomez India",Parent,LATAM,Dr. Daniel Stevens
Padilla-Wang,Global,"Cain, Holdings",CUST-10514,Lynch Group UK,Division,LATAM,Eileen Chapman
Perez LLC,Local,"Bowman, Holdings",CUST-10636,"Alexander, Hoffman and Rivera UK",Subsidiary,LATAM,Melissa Dennis
Edwards-Jordan,Local,Hardin Holdings,CUST-10285,Gross-Baker UK,Division,Europe,Samuel Harris
"Mueller, Swanson and Rogers",Local,Brennan Holdings,CUST-10476,Greer Group EMEA,Parent,North America,Anne Douglas
Patton and Sons,Global,Turner-Olson Holdings,CUST-10331,Santiago-Nielsen US,Parent,Europe,Sean Wang
"Douglas, Hill and Hancock",Local,Faulkner-Frazier Holdings,CUST-10253,"Long, Yates and Andrade EU",Division,LATAM,Mariah Bridges
Clark Ltd,Local,Smith Holdings,CUST-10430,"Dixon, Lewis and Cervantes India",Subsidiary,APAC,Dawn Smith
"Carroll, Parsons and Romero",Local,Chambers-Arnold Holdings,CUST-10198,Johnson-Gomez EMEA,Division,North America,James Brown
Wright-Randolph,Local,"Fisher, Holdings",CUST-10977,Parker-York UK,Subsidiary,LATAM,Elizabeth Hart
Pearson Inc,Local,Elliott Holdings,CUST-10345,Williams-Cordova EU,Subsidiary,APAC,Brad Hale
Cruz-Martinez,Global,"Robinson, Holdings",CUST-10313,Benitez Inc US,Joint Venture,Middle East,Martin Rowe
Anderson-Moss,Local,"Murphy, Holdings",CUST-10672,Perez-Cross EMEA,Division,Europe,Samuel Pierce
"Mccann, Dawson and Macias",Global,"Hernandez, Holdings",CUST-10023,Powell Ltd EU,Joint Venture,Middle East,Lisa Robinson
Rodriguez-Stewart,Local,"Reid, Holdings",CUST-10354,Leon-Morris India,Subsidiary,North America,Darryl Parker
Hernandez Ltd,Local,Townsend-Gould Holdings,CUST-10941,Summers Ltd India,Division,LATAM,Michael Wood
Solis Inc,Local,Coffey Holdings,CUST-10804,Callahan PLC EU,Joint Venture,Middle East,Sharon Moss
Coffey Group,Local,"Lopez, Holdings",CUST-10550,Wright-Smith EMEA,Subsidiary,North America,Alexander Bonilla
Matthews-Harris,Local,Wilcox Holdings,CUST-10318,"Ewing, Robertson and Morgan India",Parent,North America,Michael Carey
Solis Inc,Local,Clark-Hurst Holdings,CUST-10935,"Becker, Rodriguez and Stanley US",Subsidiary,Middle East,Rodney White
"Wright, Russell and Miller",Global,"Miranda, Holdings",CUST-10121,Castro Ltd EMEA,Parent,North America,Brandon Robinson
Boyle-Mack,Local,"Gonzalez, Holdings",CUST-10441,Baker Ltd APAC,Subsidiary,LATAM,Crystal Morris
