C_ID,Customer Name,Address,Industry / Vertical,Annual Revenue,Region,Customer Type,Employee Count,Contact Number
CUST-10001,"Carroll, Parsons and Romero","522 Robert Court Suite 511, Lake David, AZ 11490",Manufacturing,424129607,Europe,Enterprise,29844,001-553-107-6251x689
CUST-10002,Huff-Roach,"22825 Brandt Isle, New Michael, NV 39104",Manufacturing,418601409,LATAM,SMB,81876,912.651.7513x206
CUST-10003,Byrd Inc,"8923 Christina Parkways, West Jeremytown, SD 04129",Manufacturing,452575052,APAC,Enterprise,23458,001-211-621-4970x9366
CUST-10004,Solis Inc,"Unit 4343 Box 2368, DPO AA 94464",Manufacturing,194116622,APAC,Enterprise,97874,+1-474-109-3110x0886
CUST-10005,Kennedy-Campbell,"8274 Heather Center, Port Danielfort, ID 97565",Healthcare,254117931,Middle East,Enterprise,73218,(578)652-4094
CUST-10006,"Valdez, Pittman and Gordon","3193 Taylor Springs, South Carloschester, OR 59870",Retail,427822437,North America,SMB,82689,001-872-654-7356x3715
CUST-10007,Cruz-Glover,"985 Susan Gateway Apt. 931, Williambury, VT 55886",Financial Services,382173254,APAC,Enterprise,35523,683-913-9404x483
CUST-10008,Lee-Mueller,"PSC 4195, Box 0337, APO AP 20484",Telecommunications,168478411,North America,SMB,29469,(044)807-6277
CUST-10009,Vaughan PLC,"46123 Wheeler Parkway, Ramirezburgh, NH 91649",Telecommunications,406060008,North America,SMB,59540,318.872.0909x9878
CUST-10010,Powell-English,"22146 Lopez Cliffs Apt. 467, Fosterbury, TX 64158",Retail,226579683,North America,SMB,71319,+1-112-551-3845
CUST-10011,Pierce Inc,"Unit 3718 Box 1180, DPO AP 51018",Retail,166884524,APAC,Enterprise,8420,(086)809-7467
CUST-10012,Mcdonald-Fernandez,"828 Kenneth Unions Suite 783, Katherineville, NH 60246",Retail,35292633,LATAM,SMB,306,(433)984-3907x480
CUST-10013,Trujillo-Daniel,"235 Palmer Passage Apt. 120, Bryanfurt, DC 73371",Retail,87849336,Middle East,SMB,61791,(875)647-5672
CUST-10014,Schultz-Cole,"835 Andrea Points, Smithville, OH 76056",Healthcare,212192208,APAC,SMB,30680,001-531-459-6997x38596
CUST-10015,Morales Inc,"Unit 6838 Box 0654, DPO AA 58210",Healthcare,172513284,Middle East,SMB,35087,9212263849
CUST-10016,"Ortiz, Perkins and May","262 Lisa Oval Suite 191, Paulview, ND 24619",Healthcare,390581450,North America,SMB,92442,2323058172
CUST-10017,Jimenez-Gaines,"237 Coleman Manor, Amybury, GA 28785",Healthcare,182211911,Middle East,Enterprise,19406,(107)596-7204x95704
CUST-10018,Giles-Gallagher,"69189 Philip Crest Apt. 207, Sharonville, NJ 68184",Telecommunications,145042846,APAC,SMB,17314,+1-876-453-4436
CUST-10019,Meyer-Frazier,"5454 Hall Parkway Apt. 258, Moyermouth, NC 35412",Financial Services,244449816,LATAM,SMB,52940,001-133-651-0908x8277
CUST-10020,"Moore, Lopez and Gomez","1326 Anderson Knoll Suite 963, Brooksmouth, GA 17144",Financial Services,91401141,North America,SMB,4313,(146)064-3261x0654
CUST-10021,Taylor and Sons,"3817 Joseph Crossroad Suite 148, New Jeffrey, HI 54484",Financial Services,495869442,Europe,Enterprise,29819,598-281-9097x202
