NPS_ID,Customer Feedback,Survey Score,Incident ID,Return_ID,Customer_ID,Survey Date,Channel,Region,Surveyor / Agent
NPS-90001,Would definitely recommend,2,SR-80101,RET-50701,CUST-10367,2025-01-19,Phone,Asia-Pacific,Chelsea Cook
NPS-90002,"Great support, quick resolution",4,SR-83882,RET-50119,CUST-10484,2025-08-19,In-store,Middle East,Caroline Wilson
NPS-90003,Would definitely recommend,9,SR-84378,RET-50336,CUST-10904,2025-06-11,Web App,Asia-Pacific,Kendra Mccoy
NPS-90004,Would definitely recommend,9,SR-82775,RET-50475,CUST-10806,2025-03-13,Phone,Middle East,Cynthia Garcia
NPS-90005,Excellent delivery experience,1,SR-83329,RET-50083,CUST-10248,2025-07-23,Email,North America,Brandon Patton
NPS-90006,"Great support, quick resolution",2,SR-80404,RET-50457,CUST-10690,2025-03-17,Email,Asia-Pacific,Monique Miller
NPS-90007,Product setup was confusing,2,SR-83692,RET-50586,CUST-10203,2025-06-07,SMS,Middle East,Catherine Diaz
NPS-90008,Average service,9,SR-84510,RET-50173,CUST-10542,2025-07-19,SMS,Latin America,Holly Rodriguez
NPS-90009,"Great support, quick resolution",10,SR-83864,RET-50173,CUST-10831,2025-08-29,Phone,Europe,Eric Nguyen
NPS-90010,Product setup was confusing,8,SR-80380,RET-50372,CUST-10738,2025-03-12,In-store,Asia-Pacific,Sarah Simmons
NPS-90011,Average service,7,SR-81434,RET-50910,CUST-10592,2025-03-01,Email,Middle East,Larry Jones
NPS-90012,Would definitely recommend,8,SR-80941,RET-50306,CUST-10140,2025-08-08,Email,Middle East,Roy Vance
NPS-90013,Average service,5,SR-82450,RET-50254,CUST-10164,2025-04-12,Phone,Asia-Pacific,Theresa Carpenter
NPS-90014,"Great support, quick resolution",2,SR-81768,RET-50526,CUST-10786,2025-03-30,Phone,North America,Miss Jessica White
NPS-90015,Average service,9,SR-83423,RET-50495,CUST-10055,2025-02-14,Email,North America,Mr. James Miller
NPS-90016,Would definitely recommend,5,SR-80869,RET-50691,CUST-10137,2025-04-18,In-store,Europe,Marco Snyder
NPS-90017,Average service,2,SR-81154,RET-50447,CUST-10454,2025-01-08,SMS,North America,Kimberly Smith
NPS-90018,"Great support, quick resolution",6,SR-80743,RET-50701,CUST-10218,2025-08-27,SMS,Middle East,Joshua Jones
NPS-90019,"Great support, quick resolution",9,SR-80128,RET-50582,CUST-10848,2025-07-06,Email,Europe,David Wagner
NPS-90020,Product setup was confusing,5,SR-82344,RET-50927,CUST-10371,2025-01-20,Web App,Latin America,Joseph Baldwin
NPS-90021,Excellent delivery experience,4,SR-80471,RET-50914,CUST-10173,2025-03-02,SMS,North America,Brian Brown
NPS-90022,Average service,5,SR-83851,RET-50563,CUST-10991,2025-05-09,In-store,Asia-Pacific,Belinda Walsh
NPS-90023,Average service,0,SR-81750,RET-50018,CUST-10658,2025-06-11,Web App,Middle East,David Hendricks
NPS-90024,Would definitely recommend,8,SR-80826,RET-50394,CUST-10546,2025-08-16,SMS,Latin America,Sandra Henson
NPS-90025,Would definitely recommend,5,SR-80430,RET-50748,CUST-10165,2025-02-17,Email,North America,Jennifer Christian
NPS-90026,Excellent delivery experience,2,SR-83859,RET-50541,CUST-10434,2025-07-07,Web App,North America,Christopher Gordon
NPS-90027,Product setup was confusing,1,SR-83103,RET-50061,CUST-10155,2025-05-11,SMS,Latin America,Peter Reyes
