Order ID,Party ID,Product ID,Order Date,Order Status,Order Value ($),Order Qty
ORD-40001,CUST-10368,PROD-11935,2025-01-07,Returned,17239,9
ORD-40002,CUST-10902,PROD-11310,2025-08-15,In Progress,5477,27
ORD-40003,CUST-10814,PROD-11300,2025-08-31,In Progress,5710,39
ORD-40004,CUST-10513,PROD-11939,2025-02-09,Delivered,12491,11
ORD-40005,CUST-10369,PROD-11655,2025-02-07,In Progress,10222,12
ORD-40006,CUST-10905,PROD-11465,2025-03-26,In Progress,10404,16
ORD-40007,CUST-10825,PROD-11381,2025-07-06,In Progress,6889,21
ORD-40008,CUST-10758,PROD-11106,2025-06-15,Shipped,21338,29
ORD-40009,CUST-10846,PROD-11560,2024-10-31,In Progress,4836,40
ORD-40010,CUST-10980,PROD-11269,2024-09-09,Cancelled,9925,46
ORD-40011,CUST-10601,PROD-11494,2025-01-08,Returned,9568,1
ORD-40012,CUST-10037,PROD-11647,2025-07-31,Cancelled,22342,37
ORD-40013,CUST-10896,PROD-11663,2025-03-23,In Progress,2212,18
ORD-40014,CUST-10305,PROD-11822,2025-04-21,Returned,4634,13
ORD-40015,CUST-10484,PROD-11103,2025-04-14,In Progress,16897,28
ORD-40016,CUST-10155,PROD-11658,2025-08-04,In Progress,3183,34
ORD-40017,CUST-10009,PROD-11120,2025-03-27,In Progress,10428,6
ORD-40018,CUST-10898,PROD-11501,2025-04-26,Delivered,16784,26
ORD-40019,CUST-10798,PROD-11567,2025-01-10,In Progress,11919,5
ORD-40020,CUST-10060,PROD-11203,2025-04-20,Returned,6646,29
ORD-40021,CUST-10181,PROD-11482,2025-03-17,Returned,17786,49
ORD-40022,CUST-10619,PROD-11378,2025-08-01,Returned,12330,50
ORD-40023,CUST-10502,PROD-11780,2025-05-14,Shipped,5188,30
ORD-40024,CUST-10824,PROD-11393,2024-11-04,Shipped,10966,13
ORD-40025,CUST-10773,PROD-11914,2024-11-19,Returned,22286,28
