Prod Name,Weight (Oz),Length (cm),Width (Cm),Height (Cm),Capacity,Temperature (F),P_ID
NetConnect,9,38,27,14,1TB,14–122,PROD-11733
NetConnect,21,15,14,6,5TB,10–120,PROD-11399
NetConnect,18,47,32,29,250GB,14–122,PROD-11522
NetConnect,13,35,15,20,5TB,0–158,PROD-11010
CloudEdge,21,48,20,37,250GB,14–122,PROD-11275
DataSphere,16,51,21,27,1TB,14–122,PROD-11994
DataSphere,26,10,9,34,2TB,-4–140,PROD-11640
CloudEdge,40,30,9,26,5TB,0–158,PROD-11093
Insight360,23,59,20,33,1TB,14–122,PROD-11931
CoreAnalytics,24,27,6,40,1TB,14–122,PROD-11676
CoreAnalytics,23,44,9,16,250GB,0–158,PROD-11608
CloudEdge,22,22,8,8,2TB,-4–140,PROD-11327
DataSphere,9,17,12,20,2TB,32–104,PROD-11039
NetConnect,11,27,30,25,1TB,-4–140,PROD-11825
CloudEdge,38,22,24,5,500GB,0–158,PROD-11390
CoreAnalytics,14,38,11,32,5TB,32–104,PROD-11609
NetConnect,32,12,21,24,250GB,10–120,PROD-11889
CloudEdge,34,36,30,20,2TB,32–104,PROD-11613
NetConnect,39,54,18,36,250GB,-4–140,PROD-11309
CloudEdge,32,56,28,40,500GB,0–158,PROD-11819
CloudEdge,25,41,21,37,500GB,-4–140,PROD-11276
CoreAnalytics,40,18,19,35,2TB,14–122,PROD-11155
NetConnect,32,55,6,18,1TB,-4–140,PROD-11459
DataSphere,33,53,23,21,500GB,32–104,PROD-11213
Insight360,10,37,30,14,1TB,-4–140,PROD-11148
CloudEdge,24,34,18,14,5TB,14–122,PROD-11579
CloudEdge,11,25,28,15,2TB,-4–140,PROD-11156
CloudEdge,28,22,17,31,500GB,14–122,PROD-11004
NetConnect,22,44,18,7,2TB,0–158,PROD-11332
CloudEdge,31,34,24,30,5TB,0–158,PROD-11268
NetConnect,35,23,19,36,500GB,0–158,PROD-11656
CoreAnalytics,21,28,26,38,500GB,0–158,PROD-11531
Insight360,16,48,33,27,2TB,-4–140,PROD-11281
Insight360,10,12,25,29,5TB,14–122,PROD-11583
CloudEdge,32,42,22,15,250GB,14–122,PROD-11154
Insight360,17,46,11,28,500GB,10–120,PROD-11098
CoreAnalytics,38,36,24,31,1TB,0–158,PROD-11306
CoreAnalytics,21,31,21,22,2TB,-4–140,PROD-11538
DataSphere,32,30,9,26,2TB,0–158,PROD-11257
NetConnect,36,58,8,28,500GB,32–104,PROD-11632
Insight360,31,10,30,28,1TB,10–120,PROD-11648
CoreAnalytics,33,16,25,35,1TB,32–104,PROD-11160
DataSphere,39,32,12,40,2TB,-4–140,PROD-11467
CoreAnalytics,13,28,28,9,2TB,10–120,PROD-11286
DataSphere,22,12,13,39,2TB,-4–140,PROD-11309
DataSphere,31,33,30,16,500GB,-4–140,PROD-11415
DataSphere,15,28,26,11,5TB,-4–140,PROD-11866
CloudEdge,25,30,13,34,2TB,32–104,PROD-11453
DataSphere,30,38,10,14,500GB,32–104,PROD-11587
Insight360,21,24,32,40,5TB,10–120,PROD-11091
DataSphere,17,43,15,33,250GB,14–122,PROD-11827
CoreAnalytics,32,49,24,22,250GB,14–122,PROD-11510
CloudEdge,35,12,16,18,1TB,14–122,PROD-11778
CloudEdge,9,12,13,24,250GB,-4–140,PROD-11907
NetConnect,27,16,22,28,2TB,32–104,PROD-11768
CoreAnalytics,20,44,25,33,5TB,0–158,PROD-11030
DataSphere,19,57,15,8,5TB,-4–140,PROD-11883
NetConnect,24,58,23,19,1TB,0–158,PROD-11854
NetConnect,14,42,10,40,2TB,14–122,PROD-11090
NetConnect,35,55,35,5,250GB,32–104,PROD-11359
CloudEdge,31,14,9,25,1TB,0–158,PROD-11120
CloudEdge,36,16,30,26,5TB,-4–140,PROD-11137
NetConnect,37,11,29,7,250GB,14–122,PROD-11532
CoreAnalytics,16,43,30,30,250GB,32–104,PROD-11700
CloudEdge,26,39,34,40,1TB,-4–140,PROD-11743
CloudEdge,11,52,27,38,500GB,14–122,PROD-11359
NetConnect,37,22,32,6,500GB,10–120,PROD-11890
NetConnect,30,46,28,20,250GB,10–120,PROD-11848
CloudEdge,27,31,11,32,1TB,32–104,PROD-11049
NetConnect,25,17,7,37,5TB,-4–140,PROD-11072
DataSphere,24,17,7,27,500GB,-4–140,PROD-11580
CoreAnalytics,36,18,34,26,250GB,-4–140,PROD-11819
DataSphere,11,47,25,10,5TB,32–104,PROD-11513
CoreAnalytics,39,12,15,32,1TB,-4–140,PROD-11424
CloudEdge,34,50,32,38,2TB,-4–140,PROD-11594
Insight360,19,28,8,32,1TB,-4–140,PROD-11163
Insight360,16,49,34,21,1TB,0–158,PROD-11068
NetConnect,8,42,13,15,1TB,10–120,PROD-11246
Insight360,30,42,11,7,2TB,10–120,PROD-11204
CloudEdge,34,16,10,25,1TB,14–122,PROD-11207
Insight360,36,22,8,33,1TB,10–120,PROD-11643
CoreAnalytics,27,47,33,35,2TB,0–158,PROD-11665
Insight360,13,33,17,34,250GB,-4–140,PROD-11972
CloudEdge,29,52,25,24,2TB,10–120,PROD-11339
CoreAnalytics,32,14,17,7,1TB,10–120,PROD-11707
DataSphere,26,51,11,18,500GB,14–122,PROD-11467
Insight360,13,16,22,40,5TB,0–158,PROD-11071
DataSphere,35,56,14,23,1TB,-4–140,PROD-11346
DataSphere,26,26,18,20,5TB,14–122,PROD-11724
CloudEdge,28,56,19,39,500GB,-4–140,PROD-11383
Insight360,37,49,31,34,500GB,32–104,PROD-11092
DataSphere,24,42,17,24,500GB,14–122,PROD-11265
CloudEdge,12,43,12,26,5TB,10–120,PROD-11981
CoreAnalytics,20,16,20,23,5TB,32–104,PROD-11808
Insight360,27,15,27,28,5TB,0–158,PROD-11596
CoreAnalytics,23,45,23,29,5TB,32–104,PROD-11326
DataSphere,39,47,27,18,500GB,10–120,PROD-11718
