Product Name,Product Desc Short,Product Desc Long,Product Family,SKU ID,Technology Group,Product ID
Insight360,AI-powered insights tool,Insight platform for ML-driven automation,Networking,SKU-9001,Cloud,PROD-11544
CloudEdge,AI-powered insights tool,A scalable data platform optimized for real-time analytics and AI workloads,Networking,SKU-9002,Cloud,PROD-11227
DataSphere,Cloud storage device,"Secure, high-throughput edge networking device",Security,SKU-9003,AI/ML,PROD-11644
NetConnect,High-speed analytics engine,Insight platform for ML-driven automation,Analytics,SKU-9004,Cybersecurity,PROD-11039
CloudEdge,Cloud storage device,Insight platform for ML-driven automation,AI Solutions,SKU-9005,AI/ML,PROD-11124
CloudEdge,Cloud storage device,"Secure, high-throughput edge networking device",Analytics,SKU-9006,Cybersecurity,PROD-11672
Insight360,AI-powered insights tool,Insight platform for ML-driven automation,Storage,SKU-9007,Data Platforms,PROD-11708
DataSphere,High-speed analytics engine,Insight platform for ML-driven automation,AI Solutions,SKU-9008,AI/ML,PROD-11911
CoreAnalytics,AI-powered insights tool,"Secure, high-throughput edge networking device",AI Solutions,SKU-9009,Data Platforms,PROD-11088
CoreAnalytics,Cloud storage device,Insight platform for ML-driven automation,Security,SKU-9010,Cloud,PROD-11855
DataSphere,High-speed analytics engine,A scalable data platform optimized for real-time analytics and AI workloads,Analytics,SKU-9011,Data Platforms,PROD-11997
CloudEdge,Cloud storage device,A scalable data platform optimized for real-time analytics and AI workloads,Networking,SKU-9012,Data Platforms,PROD-11448
DataSphere,AI-powered insights tool,A scalable data platform optimized for real-time analytics and AI workloads,Security,SKU-9013,AI/ML,PROD-11675
Insight360,High-speed analytics engine,A scalable data platform optimized for real-time analytics and AI workloads,Analytics,SKU-9014,Cybersecurity,PROD-11984
Insight360,AI-powered insights tool,Insight platform for ML-driven automation,Networking,SKU-9015,Edge,PROD-11988
CoreAnalytics,AI-powered insights tool,A scalable data platform optimized for real-time analytics and AI workloads,AI Solutions,SKU-9016,Cloud,PROD-11697
DataSphere,High-speed analytics engine,Insight platform for ML-driven automation,Networking,SKU-9017,AI/ML,PROD-11240
Insight360,AI-powered insights tool,"Secure, high-throughput edge networking device",Storage,SKU-9018,AI/ML,PROD-11126
CoreAnalytics,Cloud storage device,Insight platform for ML-driven automation,Analytics,SKU-9019,Cybersecurity,PROD-11459
CloudEdge,High-speed analytics engine,Insight platform for ML-driven automation,AI Solutions,SKU-9020,AI/ML,PROD-11074
Insight360,Cloud storage device,Insight platform for ML-driven automation,Networking,SKU-9021,Data Platforms,PROD-11411
CloudEdge,Cloud storage device,"Secure, high-throughput edge networking device",Networking,SKU-9022,Cloud,PROD-11872
CoreAnalytics,Cloud storage device,Insight platform for ML-driven automation,Storage,SKU-9023,Cybersecurity,PROD-11955
CloudEdge,Cloud storage device,A scalable data platform optimized for real-time analytics and AI workloads,Networking,SKU-9024,AI/ML,PROD-11548
DataSphere,AI-powered insights tool,"Secure, high-throughput edge networking device",Networking,SKU-9025,Cloud,PROD-11630
CloudEdge,Cloud storage device,"Secure, high-throughput edge networking device",Networking,SKU-9026,AI/ML,PROD-11469
NetConnect,Cloud storage device,A scalable data platform optimized for real-time analytics and AI workloads,Analytics,SKU-9027,Data Platforms,PROD-11358
NetConnect,AI-powered insights tool,Insight platform for ML-driven automation,Security,SKU-9028,Cloud,PROD-11835
CoreAnalytics,High-speed analytics engine,Insight platform for ML-driven automation,Storage,SKU-9029,Cybersecurity,PROD-11457
CoreAnalytics,High-speed analytics engine,Insight platform for ML-driven automation,Analytics,SKU-9030,Cloud,PROD-11912
NetConnect,High-speed analytics engine,A scalable data platform optimized for real-time analytics and AI workloads,Storage,SKU-9031,AI/ML,PROD-11953
CloudEdge,High-speed analytics engine,Insight platform for ML-driven automation,Security,SKU-9032,AI/ML,PROD-11597
NetConnect,High-speed analytics engine,"Secure, high-throughput edge networking device",Storage,SKU-9033,Cybersecurity,PROD-11238
DataSphere,High-speed analytics engine,"Secure, high-throughput edge networking device",AI Solutions,SKU-9034,Edge,PROD-11729
DataSphere,AI-powered insights tool,Insight platform for ML-driven automation,AI Solutions,SKU-9035,AI/ML,PROD-11387
Insight360,AI-powered insights tool,A scalable data platform optimized for real-time analytics and AI workloads,Security,SKU-9036,Cloud,PROD-11199
CloudEdge,Cloud storage device,"Secure, high-throughput edge networking device",Analytics,SKU-9037,Cloud,PROD-11378
CoreAnalytics,High-speed analytics engine,Insight platform for ML-driven automation,Networking,SKU-9038,AI/ML,PROD-11200
