Return_ID,Return Type,Return Creation Date,Return Closed Date,Customer ID,SR ID,Product ID,R Order ID,Return Status,Return Value ($),Cost ($)
RET-50001,Damaged,2025-05-30,2025-08-14,CUST-10189,SR-83407,PROD-11833,ORD-40494,Approved,2073,1049
RET-50002,Defective,2025-04-08,2025-04-05,CUST-10299,SR-80758,PROD-11699,ORD-42564,Closed,2634,2914
RET-50003,Warranty Claim,2025-03-07,2025-06-22,CUST-10616,SR-83625,PROD-11936,ORD-40394,Open,1186,2425
RET-50004,Customer Dissatisfaction,2025-04-06,2025-03-26,CUST-10978,SR-84545,PROD-11905,ORD-40304,In Progress,4967,2391
RET-50005,Customer Dissatisfaction,2025-08-26,2025-08-29,CUST-10270,SR-83236,PROD-11608,ORD-44165,In Progress,1438,658
RET-50006,Defective,2025-07-03,2025-01-03,CUST-10680,SR-81869,PROD-11866,ORD-40827,Approved,1558,2675
RET-50007,Warranty Claim,2025-05-11,2025-06-21,CUST-10794,SR-82917,PROD-11795,ORD-41608,Open,1307,1232
RET-50008,Damaged,2025-08-01,2025-07-21,CUST-10854,SR-83336,PROD-11738,ORD-41269,Approved,4614,2431
RET-50009,Defective,2025-03-18,2025-06-21,CUST-10837,SR-83528,PROD-11119,ORD-44918,Open,3300,207
RET-50010,Damaged,2025-05-27,2025-05-17,CUST-10387,SR-82828,PROD-11643,ORD-40703,In Progress,2425,598
RET-50011,Customer Dissatisfaction,2025-07-03,2025-06-17,CUST-10585,SR-84393,PROD-11520,ORD-43781,Approved,1266,833
RET-50012,Wrong Item,2025-05-08,2025-02-19,CUST-10932,SR-83485,PROD-11655,ORD-44656,Approved,4359,1782
RET-50013,Customer Dissatisfaction,2025-08-22,2025-08-08,CUST-10947,SR-82962,PROD-11692,ORD-41148,Approved,2107,2091
RET-50014,Defective,2025-03-05,2025-07-17,CUST-10956,SR-83216,PROD-11128,ORD-44832,Approved,513,3428
RET-50015,Warranty Claim,2025-05-12,2025-06-14,CUST-10795,SR-84302,PROD-11658,ORD-41611,In Progress,4358,3579
